objectid,name,totalvotes,usersrated
119890,Agricola  All Creatures Big and Small,121,11481
139976,Cthulhu Wars,101,3980
136888,Bruges,147,9391
25292,Merchants & Marauders,283,11961
264220,Tainted Grail  The Fall of Avalon,146,2019
206718,Ethnos,127,7942
254640,Just One,99,5731
209685,Century  Spice Road,189,15127
37046,Ghost Stories,326,18181
176920,Mission  Red Planet (Second Edition),121,7877
46213,Telestrations,140,10974
232832,Century  Golem Edition,57,4748
54,Tikal,275,16843
143693,Glass Road,183,8347
39856,Dixit,571,44743
5,Acquire,313,17456
182134,Evolution  Climate,83,5054
21241,Neuroshima Hex! 3.0,313,12427
70919,Takenoko,306,30438
163967,Tiny Epic Galaxies,208,13184
1,Die Macher,125,4904
140934,Arboretum,179,9818
33160,Endeavor,232,8855
25554,Notre Dame,238,11636
129622,Love Letter,854,50098
266810,Paladins of the West Kingdom,82,2472
36932,Claustrophobia,112,6417
31594,In the Year of the Dragon,245,10117
40765,Clash of Cultures,123,4899
227789,Heaven & Ale,106,4990
8217,San Juan,325,21295
2653,Survive  Escape from Atlantis!,282,18357
15985,Blood Bowl  Living Rulebook,62,3296
24480,The Pillars of the Earth,288,15501
262712,Res Arcana,100,3888
121,Frank Herbert's Dune,158,5252
9217,Saint Petersburg,261,13725
63628,The Manhattan Project,132,8667
243,Advanced Squad Leader Rule Book,114,3342
71,Civilization,106,6866
54625,Space Hulk (third edition),114,6492
124708,Mice and Mystics,211,15199
186751,Mythic Battles  Pantheon,60,2206
198773,Codenames  Pictures XXL,111,14429
39683,At the Gates of Loyang,352,8792
21348,Ticket to Ride  M\u00e4rklin,97,8470
90137,Blood Bowl  Team Manager \u2013 The Card Game,203,9774
144592,Bruxelles 1893,100,4252
70323,King of Tokyo,728,51889
199042,Harry Potter  Hogwarts Battle,137,8518
154809,Nippon,64,3680
234487,Altiplano,105,5430
286096,Tapestry,197,6174
172,\u0e1a\u0e49\u0e32\u0e19\u0e19\u0e35\u0e49\u0e02\u0e32\u0e22!,285,21149
55670,Macao,143,6623
204305,Sherlock Holmes Consulting Detective  Jack the Ripper & West End Adventures,41,3106
123123,BattleCON  Devastation of Indines,69,2754
256226,Azul  Stained glass of Sintra \/ Les vitraux de Sintra,47,5822
66188,Fresco,181,11095
15987,Arkham Horror,1021,35270
192458,51st State  Master Set,90,4115
166669,San Juan (Second Edition),69,4915
40354,Maria,103,2544
219513,Berenpark,91,8803
96913,Lancaster,189,6281
79828,A Few Acres of Snow,87,7070
232405,Western Legends,116,4182
105134,Risk Legacy,122,7033
246784,Cryptid,89,4745
257501,KeyForge  Call of the Archons,85,7499
195539,The Godfather  Corleone's Empire,82,4771
66362,Glen More,181,8291
176396,Quadropolis,113,9664
