objectid,cat1,cat2,cat3,cat3,cat4,cat5
13122,City Building, Civilization, Economic, Environmental, Medieval,NaN
169426,Dice, Fantasy,NaN,NaN,NaN,NaN
760,Ancient, card, Deduction,NaN,NaN,NaN
54138,Economic, War, Political,NaN,NaN,NaN
217372,Adventure, Racing,NaN,NaN,NaN,NaN
144344,Age of Reason, Economic,NaN,NaN,NaN,NaN
172081,Exploration, Maze, Print & Play, secret_agent,NaN,NaN
204583,City Building, Fantasy, Medieval, Territory Building,NaN,NaN
181304,Deduction, Horror, murder_mystery, Party Game,NaN,NaN
228341,Dice, Sci_Fi, Space Exploration,NaN,NaN,NaN
172818,Adventure, City Building, Economic, Exploration, Fantasy, Farming
176734,Civilization, Dice, Economic, Environmental, industry_manuf,NaN
158600,card, Medieval, Adaptation,NaN,NaN,NaN
118,card, Economic,NaN,NaN,NaN,NaN
160477,strategy, Ancient,NaN,NaN,NaN,NaN
17392,Negotiation, Political, Religious, Renaissance, War,NaN
77130,City Building, Civilization, Exploration, Negotiation, Adaptation,NaN
197376,City Building, Economic, Medieval,NaN,NaN,NaN
45315,Economic, Fantasy, Fighting, Humor,NaN,NaN
40692,Fantasy, Fighting, Territory Building,NaN,NaN,NaN
59959,Bluffing, Deduction, murder_mystery, Post-War,NaN,NaN
2655,strategy, Animals,NaN,NaN,NaN,NaN
41114,Bluffing, card, Deduction, Negotiation, Party Game, Sci_Fi
163745,Collectible, Fighting, Miniatures, Adaptation, Sci_Fi, War
119890,Animals, Farming,NaN,NaN,NaN,NaN
139976,Fantasy, Fighting, Horror, Miniatures,NaN,NaN
136888,card, City Building, Economic, Renaissance,NaN,NaN
25292,Adventure, Fighting, War, Pirates, Transportation,NaN
264220,Adventure, Exploration, Fantasy, Adult, Medieval, Mythology
206718,Fantasy,NaN,NaN,NaN,NaN,NaN
254640,Party Game, Word Game,NaN,NaN,NaN,NaN
209685,card, Economic, Medieval,NaN,NaN,NaN
37046,Fantasy, Fighting, Horror, Mythology,NaN,NaN
176920,Sci_Fi,NaN,NaN,NaN,NaN,NaN
46213,Humor, Party Game, Real-time,NaN,NaN,NaN
232832,card, Economic, Fantasy,NaN,NaN,NaN
54,Exploration, Territory Building,NaN,NaN,NaN,NaN
143693,City Building, Economic, Medieval,NaN,NaN,NaN
39856,card, Humor, Party Game,NaN,NaN,NaN
5,Economic,NaN,NaN,NaN,NaN,NaN
182134,Animals, card, Educational, Environmental, Fighting, Prehistoric
21241,Fighting, Sci_Fi,NaN,NaN,NaN,NaN
70919,Animals, Environmental, Farming, Territory Building,NaN,NaN
163967,Dice, Sci_Fi, Space Exploration,NaN,NaN,NaN
1,Economic, Negotiation, Political,NaN,NaN,NaN
140934,Bluffing, card,NaN,NaN,NaN,NaN
33160,Exploration, War, Renaissance,NaN,NaN,NaN
25554,Economic, Renaissance,NaN,NaN,NaN,NaN
129622,card, Deduction, Renaissance,NaN,NaN,NaN
266810,Medieval,NaN,NaN,NaN,NaN,NaN
36932,Horror, Adventure, Exploration, Fantasy, Fighting, Miniatures
31594,Economic, Medieval,NaN,NaN,NaN,NaN
40765,Ancient, City Building, Civilization, Economic, Exploration, Territory Building
227789,Economic, Farming, industry_manuf,NaN,NaN,NaN
8217,card, City Building, Economic,NaN,NaN,NaN
2653,Adventure, Animals, Bluffing, War,NaN,NaN
15985,Collectible, Expansion for Base-game, Fantasy, Fighting, Miniatures, Sports
24480,Economic, Medieval, Adaptation, Religious,NaN,NaN
262712,card, Fantasy,NaN,NaN,NaN,NaN
121,Bluffing, Fighting, Negotiation, Adaptation, Political, Sci_Fi
9217,Age of Reason, card, Economic,NaN,NaN,NaN
