object_id,game_name,year_published,min_players,max_players,min_playtime,max_playtime,category_1,category_2,category_3,category_4,category_5,category_6,mech_1,mech_2,mech_3,mech_4,mech_5,mech_6,total_votes,users_rated,average,baverage,stddev,complexity,site_views
256778,Exceed  Seventh Cross \u2013 Guardians vs. Myths Box,2018,2,2,5,30,Fantasy, Fighting, Horror, Adaptation,error,error,Hand Management, Point to Point Movement, Variable Player Powers,NaN,NaN,NaN,0,46,8.55435,5.59428,1.22327,0,3043
12253,ATS Stalingrad  Dzerhezinsky Tractor Works 1942,2004,2,2,120,120,War, War,error,error,error,error,Hexagon Grid, Modular Board,NaN,NaN,NaN,NaN,1,65,7.36146,5.59427,2.12746,3.5714,36697
195742,The Godfather  A New Don,2016,3,6,45,45,Dice, Mafia,error,error,error,error,Area Majority / Influence, Dice Rolling,NaN,NaN,NaN,NaN,2,137,6.53626,5.5942,1.48276,2,31800
1738,Castle of Magic,1991,4,6,90,90,Adventure, Deduction, Fantasy,error,error,error,Role Playing,NaN,NaN,NaN,NaN,NaN,2,231,6.19417,5.5942,1.6828,2.52,59126
7828,Eagles of the Empire  Preussisch-Eylau,1999,1,2,180,180,War, War,error,error,error,error,Area Movement, Area-Impulse, Dice Rolling, Secret Unit Deployment, Simulation,NaN,1,122,6.69098,5.59409,1.52788,2.6364,39043
226312,Button Men  Beat People Up,2017,2,2,10,10,Dice,error,error,error,error,error,Dice Rolling, Variable Player Powers,NaN,NaN,NaN,NaN,1,113,6.91151,5.59404,1.49773,1.8889,11234
99313,Proud Monster Deluxe,2011,2,6,1500,1500,War, War,error,error,error,error,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN,2,69,7.86377,5.59398,1.66472,3.5333,66989
244169,Tears of a Goddess,2015,1,1,30,130,Book, Adaptation,error,error,error,error,Role Playing,NaN,NaN,NaN,NaN,NaN,4,120,6.61508,5.59397,1.26077,1.25,7469
260218,1st & Roll,2018,2,4,20,60,Sports,error,error,error,error,error,Dice Rolling,NaN,NaN,NaN,NaN,NaN,3,76,7.37224,5.59396,1.394,2,17716
161719,Rise of Cthulhu,2015,2,2,30,30,Adventure, card, Horror,error,error,error,Area Majority / Influence, Hand Management, Set Collection,NaN,NaN,NaN,9,163,6.55423,5.59394,1.65588,1.6667,35679
4395,Bean Trader,2002,3,5,90,90,Medieval, Travel,error,error,error,error,Pick-up and Deliver, Trading,NaN,NaN,NaN,NaN,7,711,5.79703,5.59392,1.35287,2.1795,72534
37982,God Dice,2008,2,4,30,30,Dice, Fantasy, Fighting,error,error,error,Dice Rolling,NaN,NaN,NaN,NaN,NaN,8,232,6.35847,5.59388,1.51754,1.4667,55170
2229,Spiel,1980,2,6,20,20,strategy, Dexterity, Dice, Game System,error,error,Auction/Bidding, Cooperative Game, Dice Rolling,NaN,NaN,NaN,3,195,6.2418,5.59387,1.44322,1.6667,51002
225981,Penguin Trap,2017,2,4,5,10,Dexterity, Childrens Game,error,error,error,error,Player Elimination, Push Your Luck,NaN,NaN,NaN,NaN,2,206,6.27083,5.59386,1.52189,1,14301
166436,In Flanders Field,2014,2,4,45,45,War,error,error,error,error,error,Card Drafting, Dice Rolling, Player Elimination, Push Your Luck,NaN,NaN,2,183,6.36093,5.59382,1.37172,1.5714,29454
