objectid,name,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime
822,Carcassonne,2000,2,5,30,45
109276,Kanban  Driver's Edition,2014,2,4,90,120
20551,Shogun,2006,3,5,90,120
31481,Galaxy Trucker,2007,2,4,60,60
245638,Coimbra,2018,2,4,60,90
220877,Rajas of the Ganges,2017,2,4,45,75
7854,YINSH,2003,2,2,30,60
192291,Sushi Go Party!,2016,2,8,20,20
285774,Marvel Champions  The Card Game,2019,1,4,45,90
421,1830  The Game of Railroads and Robber Barons,1986,2,7,180,360
156129,Deception  Murder in Hong Kong,2014,4,12,20,20
176494,Isle of Skye  From Chieftain to King,2015,2,5,30,50
155873,Power Grid Deluxe  Europe\/North America,2014,2,6,120,120
140620,Lewis & Clark,2013,1,5,120,120
154203,Imperial Settlers,2014,1,4,45,90
188834,Secret Hitler,2016,5,10,45,45
19857,Glory to Rome,2005,2,5,60,60
24181,Imperial,2006,2,6,120,180
198994,Hero Realms,2016,2,4,20,30
97207,Dungeon Petz,2011,2,4,90,90
127060,Bora Bora,2013,2,4,60,120
218417,Aeon's End  War Eternal,2017,1,4,60,60
27708,1960  The Making of the President,2007,2,2,90,120
22545,Age of Empires III  The Age of Discovery,2007,2,5,90,120
108745,Seasons,2012,2,4,60,60
38453,Space Alert,2008,1,5,30,30
203420,Exit  The Game \u2013 The Abandoned Cabin,2016,1,6,60,120
193037,Dead of Winter  The Long Night,2016,2,5,60,120
92828,Dixit  Odyssey,2011,3,12,30,30
93260,Summoner Wars  Master Set,2011,2,4,30,60
234,Hannibal  Rome vs. Carthage,1996,2,2,40,200
59294,Runewars,2010,2,4,180,240
199478,Flamme Rouge,2016,2,4,30,45
146439,BattleLore (Second Edition),2013,2,2,45,90
3,Samurai,1998,2,4,30,60
66589,Navegador,2010,2,5,60,90
181279,Fury of Dracula (Third\/Fourth Edition),2015,2,5,120,180
48726,Alien Frontiers,2010,2,4,90,90
101721,Mage Wars Arena,2012,2,2,90,90
19777,Indonesia,2005,2,5,180,240
189932,Tyrants of the Underdark,2016,2,4,60,60
222509,Lords of Hellas,2018,1,4,60,90
13122,Antiquity,2004,2,4,120,180
169426,Roll Player,2016,1,4,60,90
760,Battle Line,2000,2,2,30,30
54138,Imperial 2030,2009,2,6,120,180
217372,The Quest for El Dorado,2017,2,4,30,60
144344,Rokoko,2013,2,5,60,120
172081,Burgle Bros.,2015,1,4,45,90
