objectid,name,category1,category2,category3,category4,category5,category6
4997,HellRail,card, Humor, Trains,error,error,error
4851,Civil War Game 1863,American War, War,error,error,error,error
137910,Triple\u00b3,Dexterity,error,error,error,error,error
146597,Discount Salmon,card, Humor, Print & Play, Real-time,error,error
216631,Tower of London,Animals,error,error,error,error,error
18613,Khan  The Rise of the Mongols,Medieval, War,error,error,error,error
58861,Pajaggle Boards,strategy, Dexterity, Puzzle,error,error,error
126159,Mausgetrixt,Childrens Game,error,error,error,error,error
217671,Mag-O-Mag,Real-time,error,error,error,error,error
36639,Battle for Olympus,strategy, Mythology,error,error,error,error
109456,Nova Cry,card, Sci_Fi,error,error,error,error
165999,Peng!,Childrens Game, Racing,error,error,error,error
19725,Scene It? Harry Potter Deluxe,Electronic, Fantasy, Adaptation, Adaptation, Party Game, Trivia
601,Take Two,Word Game,error,error,error,error,error
129315,Cactus Air Force  Air War Over the Solomons,Aviation, War, War,error,error,error
4948,Play It By Ear,Electronic, Memory, Party Game, Trivia, Word Game,error
304,Evergreen,card, Music,error,error,error,error
12856,Shove Ha'penny,Dexterity,error,error,error,error,error
217230,The Walking Pet,Adaptation,error,error,error,error,error
1729,Wide World,Aviation, Economic, Transportation, Travel,error,error
2210,The Last Spike,Economic, Trains,error,error,error,error
189735,Monsters Party  Voodoo Madness,Bluffing, card, Deduction, Horror,error,error
145400,Strajk! Skok do wolno\u015bci,Educational, Political,error,error,error,error
38824,Marlborough's Battles  Ramillies and Malplaquet,Age of Reason, War,error,error,error,error
1354,Zaubercocktail,card, Fantasy, Real-time,error,error,error
143070,Even Steven's Odd,Dexterity, Dice, Party Game, Real-time,error,error
8740,Imperium Romanum  The Clash of Legions,Ancient, Political, War,error,error,error
260931,Go Go Eskimo,Childrens Game,error,error,error,error,error
9201,Spy,strategy, card, secret_agent,error,error,error
21716,La Guerre de Troie,Ancient, War,error,error,error,error
8360,Lost Battles,War, War,error,error,error,error
106929,Top-A-Top,Dexterity, Childrens Game, Humor, Memory, Party Game,error
140386,Assassin's Creed  Arena,Adaptation,error,error,error,error,error
40083,Cluedo Chocolate Edition,Deduction, Memory, murder_mystery,error,error,error
171126,Clue  Supernatural,Deduction, Fantasy, Adaptation, murder_mystery,error,error
3198,Hecht im Karpfenteich,Farming,error,error,error,error,error
179574,Scuba,Adventure, Animals, Exploration, War,error,error
2563,Hot Dog,card,error,error,error,error,error
147824,TF22 Mine,card, Sci_Fi, Transportation,error,error,error
92879,La sorci\u00e8re \u00e9tourdie,Childrens Game, Deduction, Dice, Fantasy, Memory, Mythology
139137,Firefly  Out to the Black,card, Adaptation, Sci_Fi,error,error,error
55492,MegaCorps,Economic, Negotiation, Sci_Fi,error,error,error
10757,Marco Polo  Dragonda,Adventure, Educational, Transportation,error,error,error
8001,Tahiti   Clan Warfare,Medieval, War,error,error,error,error
146707,Space Junk,Humor, Print & Play, Racing, Sci_Fi, Space Exploration,error
275391,Skulk,Bluffing,error,error,error,error,error
169393,The Lord of the P.I.G.S.  Pata Negra,card, Educational, Humor, Negotiation, Political,error
9989,Mare Polare,Childrens Game, Memory,error,error,error,error
1325,Wild Pirates,card, War, Pirates, Racing,error,error
34221,Atoll,strategy,error,error,error,error,error
2442,Tiles,strategy, Print & Play,error,error,error,error
141042,Kenya,Animals,error,error,error,error,error
172550,Harry Hopper,Dexterity, Childrens Game,error,error,error,error
235251,Forest,card,error,error,error,error,error
18563,Scavenger Hunt,Animals, card,error,error,error,error
11126,Moscow 1941  The Enemy at the Gates,War, War,error,error,error,error
2349,Inspector Higgins,Deduction, murder_mystery,error,error,error,error
130185,Speedy Recall,card,error,error,error,error,error
167892,Gang Up!,card, Adaptation, Humor, Mafia, secret_agent,error
219312,MINDJOB,card, Humor, Adult, Party Game,error,error
31764,Tobynstein,Animals, Humor,error,error,error,error
175924,Trash War,card, Fighting, Medieval,error,error,error
12222,Ancients  Thapsos & Alexandria,Ancient, War,error,error,error,error
252165,Role Quest,card, Deduction, Fantasy, Humor, Medieval, Party Game
245503,\u821e\u52d5\u9b54\u5492,Dexterity,error,error,error,error,error
119639,Heap,card, Fighting, Racing,error,error,error
2839,Fair Play,Bluffing, Racing,error,error,error,error
21343,Graverobbers,card,error,error,error,error,error
9248,Taxi!,Transportation, Travel,error,error,error,error
4268,Razzle,Dice, Word Game,error,error,error,error
65087,Beyblade,Dexterity,error,error,error,error,error
4555,Das Blaue Amulett,Fantasy, Racing,error,error,error,error
24189,Pustekuchen,Dexterity, Childrens Game,error,error,error,error
25567,Mozaika,strategy, Ancient,error,error,error,error
148940,Kings Under Mountains,card,error,error,error,error,error
