objectid,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic
13676,Team-Based Game,NaN,NaN,NaN,NaN,NaN
477,Roll / Spin and Move, Stock Holding,NaN,NaN,NaN,NaN
146034,Hand Management,NaN,NaN,NaN,NaN,NaN
769,Variable Player Powers,NaN,NaN,NaN,NaN,NaN
2562,Campaign / Battle Card Driven,NaN,NaN,NaN,NaN,NaN
121429,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
103752,Grid Movement, Hand Management, Tile Placement,NaN,NaN,NaN
2334,Auction/Bidding, Modular Board,NaN,NaN,NaN,NaN
3162,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
1066,Area Movement, Dice Rolling, Variable Player Powers,NaN,NaN,NaN
19505,Pattern Recognition,NaN,NaN,NaN,NaN,NaN
198517,Worker Placement,NaN,NaN,NaN,NaN,NaN
16149,Memory,NaN,NaN,NaN,NaN,NaN
262520,Hand Management, Player Elimination, Set Collection,NaN,NaN,NaN
231045,Memory,NaN,NaN,NaN,NaN,NaN
2773,Modular Board, Role Playing, Tile Placement,NaN,NaN,NaN
204755,Card Drafting, Set Collection,NaN,NaN,NaN,NaN
25,Exploration, Fantasy, Wargame,NaN,NaN,NaN
38204,Dice Rolling, Line Drawing, Paper-and-Pencil,NaN,NaN,NaN
245823,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
3568,Betting and Bluffing,NaN,NaN,NaN,NaN,NaN
192116,Cooperative Game, Deck, Hand Management,NaN,NaN,NaN
93563,Action Points, Betting and Bluffing, Dice Rolling, Team-Based Game,NaN,NaN
131788,Memory,NaN,NaN,NaN,NaN,NaN
236475,Player Elimination, Role Playing, Team-Based Game, Variable Player Powers, Voting,NaN
11283,Network and Route Building, Stock Holding, Tile Placement, Trading,NaN,NaN
31586,Dice Rolling, Hexagon Grid, Pick-up and Deliver, Team-Based Game, Variable Player Powers,NaN
9117,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
173269,Hand Management, Point to Point Movement, Role Playing,NaN,NaN,NaN
107649,Action / Dexterity, Childrens Game,NaN,NaN,NaN,NaN
179794,Pattern Recognition,NaN,NaN,NaN,NaN,NaN
207,Action / Dexterity, Card Game,NaN,NaN,NaN,NaN
26047,Hand Management, Set Collection,NaN,NaN,NaN,NaN
39663,Action Points, Dice Rolling,NaN,NaN,NaN,NaN
238919,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
4816,Trick-taking,NaN,NaN,NaN,NaN,NaN
2180,Campaign / Battle Card Driven,NaN,NaN,NaN,NaN,NaN
2457,Area Movement, Simultaneous Action Selection,NaN,NaN,NaN,NaN
282297,Action Points, Area Majority / Influence, Worker Placement,NaN,NaN,NaN
286343,Action Points, Dice Rolling, Hexagon Grid, Simulation,NaN,NaN
150138,Area Movement, Cooperative Game, Simultaneous Action Selection, Time Track,NaN,NaN
42255,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
255970,Card Game, Educational, Trivia,NaN,NaN,NaN
275785,Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simultaneous Action Selection, Team-Based Game,NaN
166298,Card Drafting, Hand Management,NaN,NaN,NaN,NaN
44338,Dice Rolling, Hand Management, Pick-up and Deliver,NaN,NaN,NaN
166210,Dice Rolling, Hand Management,NaN,NaN,NaN,NaN
175121,Hand Management,NaN,NaN,NaN,NaN,NaN
229235,Card Drafting, Hand Management, Set Collection, Variable Player Powers,NaN,NaN
136240,Pattern Building,NaN,NaN,NaN,NaN,NaN
35452,Campaign / Battle Card Driven,NaN,NaN,NaN,NaN,NaN
205346,Action Queue, Area Majority / Influence, Auction/Bidding, Set Collection, Worker Placement,NaN
169368,Action / Dexterity, Childrens Game, Party Game,NaN,NaN,NaN
11396,Tile Placement,NaN,NaN,NaN,NaN,NaN
158751,Mythology,NaN,NaN,NaN,NaN,NaN
83919,Paper-and-Pencil,NaN,NaN,NaN,NaN,NaN
38499,Point to Point Movement, Set Collection,NaN,NaN,NaN,NaN
215066,Dice Rolling,NaN,NaN,NaN,NaN,NaN
147168,Deck,NaN,NaN,NaN,NaN,NaN
283155,Pattern Building, Set Collection, Tile Placement,NaN,NaN,NaN
179322,Campaign / Battle Card Driven, Memory, Take That,NaN,NaN,NaN
245382,Area Majority / Influence, Set Collection,NaN,NaN,NaN,NaN
195515,Action Points, Dice Rolling,NaN,NaN,NaN,NaN
123370,Hand Management, Set Collection,NaN,NaN,NaN,NaN
245371,Network and Route Building, Pick-up and Deliver, Trading,NaN,NaN,NaN
127589,Area Majority / Influence, Hand Management,NaN,NaN,NaN,NaN
154526,Dice Rolling, Simulation,NaN,NaN,NaN,NaN
170430,Hand Management, Trick-taking,NaN,NaN,NaN,NaN
30287,Auction/Bidding,NaN,NaN,NaN,NaN,NaN
148209,Acting, Betting and Bluffing, Role Playing, Storytelling, Voting,NaN
82702,Card Drafting, Set Collection, Team-Based Game,NaN,NaN,NaN
231644,Dice Rolling, Push Your Luck,NaN,NaN,NaN,NaN
702,Action Points, Hand Management, Variable Player Powers,NaN,NaN,NaN
252314,Memory, Team-Based Game, Variable Player Powers,NaN,NaN,NaN
4020,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
255029,Grid Movement,NaN,NaN,NaN,NaN,NaN
33040,Hand Management, Tile Placement, Variable Player Powers,NaN,NaN,NaN
259345,Dice Rolling,NaN,NaN,NaN,NaN,NaN
188124,Dice Rolling, Hexagon Grid, Variable Phase Order,NaN,NaN,NaN
237551,Area Majority / Influence,NaN,NaN,NaN,NaN,NaN
203845,Dice Rolling, Push Your Luck, Set Collection,NaN,NaN,NaN
22297,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
270972,Hand Management, Take That,NaN,NaN,NaN,NaN
94615,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
171950,Acting, Pattern Recognition,NaN,NaN,NaN,NaN
237745,Action Points, Area Majority / Influence, Chit-Pull System, Dice Rolling,NaN,NaN
220508,Action Points, Area Movement, Dice Rolling, Secret Unit Deployment, Simulation,NaN
11412,Action / Dexterity,NaN,NaN,NaN,NaN,NaN
5065,Action / Dexterity, Sports,NaN,NaN,NaN,NaN
1101,Arabian, Aviation / Flight, Racing,NaN,NaN,NaN
148745,Action Points, Area Movement, Cooperative Game, Grid Movement, Hexagon Grid, Modular Board
60035,Area Majority / Influence, Area Movement, Dice Rolling, Network and Route Building,NaN,NaN
254135,Network and Route Building, Tile Placement,NaN,NaN,NaN,NaN
2736,Dice Rolling, Hexagon Grid, Role Playing,NaN,NaN,NaN
240926,Card Drafting, Hand Management, Pattern Building,NaN,NaN,NaN
188825,Campaign / Battle Card Driven, Dice Rolling,NaN,NaN,NaN,NaN
9044,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
186990,Point to Point Movement,NaN,NaN,NaN,NaN,NaN
143509,Animals, Bluffing, Card Game,NaN,NaN,NaN
183360,Card Drafting, Push Your Luck, Set Collection,NaN,NaN,NaN
64735,Abstract Strategy, Fantasy,NaN,NaN,NaN,NaN
34403,Area Movement, Paper-and-Pencil, Simulation,NaN,NaN,NaN
15271,Party Game, Word Game,NaN,NaN,NaN,NaN
9782,Hand Management, Take That,NaN,NaN,NaN,NaN
3070,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
233149,Card Drafting, Dice Rolling, Push Your Luck, Time Track,NaN,NaN
10346,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
178349,Campaign / Battle Card Driven, Dice Rolling, Grid Movement, Hand Management, Trading,NaN
203584,Grid Movement, Hand Management, Set Collection, Variable Phase Order,NaN,NaN
746,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
1578,Campaign / Battle Card Driven, Hand Management, Modular Board,NaN,NaN,NaN
8140,Area Majority / Influence, Auction/Bidding, Voting,NaN,NaN,NaN
244153,American West, Book, Comic Book / Strip,NaN,NaN,NaN
210414,Campaign / Battle Card Driven, Hand Management, Player Elimination,NaN,NaN,NaN
259005,Memory, Storytelling,NaN,NaN,NaN,NaN
24028,Action / Dexterity, Party Game,NaN,NaN,NaN,NaN
525,Trick-taking,NaN,NaN,NaN,NaN,NaN
195456,Hand Management, Memory, Player Elimination, Secret Unit Deployment,NaN,NaN
17821,Enclosure, Line Drawing, Paper-and-Pencil, Tile Placement,NaN,NaN
12699,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
101118,Area Movement, Area-Impulse, Dice Rolling,NaN,NaN,NaN
10884,Area Movement, Chit-Pull System, Dice Rolling, Variable Player Powers,NaN,NaN
73312,Hand Management, I Cut,NaN,NaN,NaN,NaN
197946,Action Points, Action Queue, Grid Movement, Modular Board, Push Your Luck, Tile Placement
2965,Point to Point Movement,NaN,NaN,NaN,NaN,NaN
193121,Point to Point Movement, Set Collection, Time Track,NaN,NaN,NaN
90274,Dice Rolling, Hand Management, Modular Board, Variable Player Powers,NaN,NaN
2918,Action Points, Secret Unit Deployment,NaN,NaN,NaN,NaN
221367,Deck,NaN,NaN,NaN,NaN,NaN
169436,Card Game, Party Game, Real-time, Word Game,NaN,NaN
177843,Card Game, Childrens Game, Puzzle,NaN,NaN,NaN
250822,Simulation,NaN,NaN,NaN,NaN,NaN
178030,Set Collection, Take That, Tile Placement, Worker Placement,NaN,NaN
234378,Cooperative Game, Paper-and-Pencil, Pattern Recognition, Role Playing, Storytelling,NaN
294612,Cooperative Game, Real-Time, Scenario / Mission / Campaign Game,NaN,NaN,NaN
145344,Hand Management, Team-Based Game, Variable Player Powers,NaN,NaN,NaN
118732,Set Collection, Worker Placement,NaN,NaN,NaN,NaN
94949,Action Points, Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement,NaN,NaN
35305,Hand Management, Variable Player Powers,NaN,NaN,NaN,NaN
26919,Area Movement, Dice Rolling, Team-Based Game,NaN,NaN,NaN
1477,Area-Impulse, Dice Rolling, Simulation,NaN,NaN,NaN
220258,Area Majority / Influence, Set Collection, Simultaneous Action Selection,NaN,NaN,NaN
11988,Pick-up and Deliver,NaN,NaN,NaN,NaN,NaN
231367,Campaign / Battle Card Driven, Chit-Pull System, Simulation,NaN,NaN,NaN
149970,Action Points, Auction/Bidding, Hand Management, Set Collection,NaN,NaN
284054,Dice Rolling, Paper-and-Pencil,NaN,NaN,NaN,NaN
151016,Card Drafting, Hand Management,NaN,NaN,NaN,NaN
67910,Pattern Building,NaN,NaN,NaN,NaN,NaN
4293,Dice Rolling, Simulation,NaN,NaN,NaN,NaN
8707,Commodity Speculation, Roll / Spin and Move,NaN,NaN,NaN,NaN
141734,Modular Board, Tile Placement,NaN,NaN,NaN,NaN
220987,Area Movement, Area-Impulse, Dice Rolling,NaN,NaN,NaN
215058,Dice Rolling, Set Collection,NaN,NaN,NaN,NaN
216630,Hand Management,NaN,NaN,NaN,NaN,NaN
106560,Set Collection,NaN,NaN,NaN,NaN,NaN
4328,Tile Placement,NaN,NaN,NaN,NaN,NaN
244267,Dice Rolling, Secret Unit Deployment, Simultaneous Action Selection, Worker Placement,NaN,NaN
73365,Trick-taking,NaN,NaN,NaN,NaN,NaN
190700,Dice Rolling, Point to Point Movement, Simulation, Variable Player Powers,NaN,NaN
5279,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
129751,Action / Dexterity,NaN,NaN,NaN,NaN,NaN
1950,Roll / Spin and Move,NaN,NaN,NaN,NaN,NaN
7475,Set Collection, Team-Based Game,NaN,NaN,NaN,NaN
132229,Storytelling, Voting,NaN,NaN,NaN,NaN
109657,Action / Dexterity,NaN,NaN,NaN,NaN,NaN
17235,Roll / Spin and Move,NaN,NaN,NaN,NaN,NaN
206686,Chit-Pull System, Dice Rolling,NaN,NaN,NaN,NaN
234510,Memory, Role Playing, Simultaneous Action Selection, Team-Based Game, Variable Phase Order, Variable Player Powers
248182,Enclosure, Tile Placement,NaN,NaN,NaN,NaN
49396,Variable Phase Order,NaN,NaN,NaN,NaN,NaN
168265,Hand Management,NaN,NaN,NaN,NaN,NaN
4366,Area Movement, Dice Rolling, Hexagon Grid,NaN,NaN,NaN
3807,Enclosure, Hexagon Grid, Simulation,NaN,NaN,NaN
257204,Hand Management, Set Collection, Variable Player Powers,NaN,NaN,NaN
209714,Area Movement, Cooperative Game, Push Your Luck, Simulation, Take That,NaN
266064,Cooperative Game,NaN,NaN,NaN,NaN,NaN
208340,Dice Rolling,NaN,NaN,NaN,NaN,NaN
130008,Pick-up and Deliver,NaN,NaN,NaN,NaN,NaN
239930,Dice Rolling, Grid Movement, Hand Management, Set Collection,NaN,NaN
189154,Auction/Bidding, Cooperative Game, Hand Management, Variable Player Powers,NaN,NaN
1337,Grid Movement,NaN,NaN,NaN,NaN,NaN
231966,Area Movement, Card Drafting, Commodity Speculation, Secret Unit Deployment, Variable Player Powers, Worker Placement
171431,Area Majority / Influence, Pattern Recognition, Set Collection, Solo / Solitaire Game,NaN,NaN
14781,Tile Placement,NaN,NaN,NaN,NaN,NaN
30706,Action / Dexterity, Card Game,NaN,NaN,NaN,NaN
21798,Acting, Simulation, Team-Based Game,NaN,NaN,NaN
226006,Grid Movement, Modular Board,NaN,NaN,NaN,NaN
207899,Book, Comic Book / Strip,NaN,NaN,NaN,NaN
55842,Auction/Bidding, Commodity Speculation, Network and Route Building, Player Elimination,NaN,NaN
178335,Enclosure, Set Collection, Tile Placement,NaN,NaN,NaN
24693,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
124000,Hand Management, Team-Based Game,NaN,NaN,NaN,NaN
85857,Chit-Pull System, Dice Rolling, Hexagon Grid, Simulation,NaN,NaN
274548,Tile Placement,NaN,NaN,NaN,NaN,NaN
3603,Dice Rolling, Hexagon Grid, Secret Unit Deployment,NaN,NaN,NaN
246316,Area Majority / Influence, Tile Placement,NaN,NaN,NaN,NaN
13224,Dice Rolling, Point to Point Movement, Variable Player Powers,NaN,NaN,NaN
4746,Memory, Role Playing,NaN,NaN,NaN,NaN
1246,Cooperative Game, Hexagon Grid, Role Playing, Simulation, Variable Player Powers,NaN
158589,Stock Holding, Tile Placement,NaN,NaN,NaN,NaN
142645,Hand Management, Set Collection, Variable Player Powers,NaN,NaN,NaN
13647,Action Points, Dice Rolling, Variable Phase Order,NaN,NaN,NaN
17816,Hand Management, Set Collection,NaN,NaN,NaN,NaN
111866,Area Majority / Influence, Area Movement, Enclosure, Modular Board, Tile Placement,NaN
250881,Area Majority / Influence, Modular Board, Set Collection, Tile Placement,NaN,NaN
234314,Card Drafting, Dice Rolling, Variable Player Powers,NaN,NaN,NaN
256701,Auction/Bidding, Betting and Bluffing, Dice Rolling, Player Elimination, Push Your Luck,NaN
131387,Pattern Building,NaN,NaN,NaN,NaN,NaN
11978,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
172166,Hand Management, Network and Route Building,NaN,NaN,NaN,NaN
57139,Cooperative Game, Dice Rolling,NaN,NaN,NaN,NaN
182801,Area Majority / Influence, Card Drafting, Dice Rolling, Hand Management,NaN,NaN
118568,Puzzle, Real-time,NaN,NaN,NaN,NaN
187420,Area Majority / Influence, Card Drafting, Hand Management, Worker Placement,NaN,NaN
5488,Hexagon Grid, Secret Unit Deployment,NaN,NaN,NaN,NaN
6270,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
387,Hand Management,NaN,NaN,NaN,NaN,NaN
57368,Hand Management,NaN,NaN,NaN,NaN,NaN
18776,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
49400,Variable Phase Order,NaN,NaN,NaN,NaN,NaN
153757,Grid Movement, Team-Based Game,NaN,NaN,NaN,NaN
6721,Hexagon Grid, Secret Unit Deployment,NaN,NaN,NaN,NaN
645,Grid Movement,NaN,NaN,NaN,NaN,NaN
103975,Action Points, Area Majority / Influence, Grid Movement,NaN,NaN,NaN
274363,Set Collection, Worker Placement,NaN,NaN,NaN,NaN
565,Trick-taking,NaN,NaN,NaN,NaN,NaN
193278,Hand Management, Rock-Paper-Scissors, Simultaneous Action Selection, Variable Player Powers,NaN,NaN
3749,Hand Management, Simultaneous Action Selection,NaN,NaN,NaN,NaN
2095,Auction/Bidding, Cooperative Game, Tile Placement,NaN,NaN,NaN
86458,Chit-Pull System, Dice Rolling, Hexagon Grid,NaN,NaN,NaN
163798,Area Majority / Influence, Dice Rolling, Modular Board, Rock-Paper-Scissors, Set Collection,NaN
142829,Secret Unit Deployment, Variable Player Powers,NaN,NaN,NaN,NaN
487,Area Movement, Secret Unit Deployment, Simultaneous Action Selection,NaN,NaN,NaN
23258,Card Drafting, Hand Management, Take That,NaN,NaN,NaN
201416,Area Majority / Influence, Area Movement, Card Drafting, Pattern Recognition,NaN,NaN
152174,Pattern Recognition, Pick-up and Deliver, Set Collection,NaN,NaN,NaN
254634,Area Movement, Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement, Simulation,NaN
42617,Dice Rolling,NaN,NaN,NaN,NaN,NaN
137498,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
139390,Action / Dexterity, Maze,NaN,NaN,NaN,NaN
92188,Abstract Strategy,NaN,NaN,NaN,NaN,NaN
122236,Area-Impulse, Campaign / Battle Card Driven, Simulation,NaN,NaN,NaN
272541,Hand Management, Set Collection,NaN,NaN,NaN,NaN
10262,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
220675,Card Drafting, Modular Board, Set Collection, Variable Phase Order, Variable Player Powers,NaN
133,Modular Board,NaN,NaN,NaN,NaN,NaN
164059,Dice Rolling, Variable Player Powers,NaN,NaN,NaN,NaN
685,Dice Rolling, Simultaneous Action Selection,NaN,NaN,NaN,NaN
2875,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
13493,Set Collection,NaN,NaN,NaN,NaN,NaN
170344,Card Drafting, Player Elimination, Worker Placement,NaN,NaN,NaN
4964,Action Points, Chit-Pull System, Hexagon Grid,NaN,NaN,NaN
26250,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
248830,Science Fiction, Wargame,NaN,NaN,NaN,NaN
5383,Dice Rolling, Hexagon Grid, Simultaneous Action Selection,NaN,NaN,NaN
25993,Hexagon Grid, Simulation, Variable Phase Order,NaN,NaN,NaN
281961,Auction/Bidding, Set Collection,NaN,NaN,NaN,NaN
90050,Hand Management, Set Collection, Take That,NaN,NaN,NaN
239682,Card Drafting, Hand Management, Pattern Recognition,NaN,NaN,NaN
159333,Area Majority / Influence, Enclosure, Point to Point Movement,NaN,NaN,NaN
209282,Modular Board, Paper-and-Pencil,NaN,NaN,NaN,NaN
136229,Campaign / Battle Card Driven, Modular Board, Secret Unit Deployment, Variable Phase Order,NaN,NaN
92838,Action / Dexterity, Sports,NaN,NaN,NaN,NaN
154472,Area-Impulse,NaN,NaN,NaN,NaN,NaN
72083,Hand Management, Simulation, Tile Placement,NaN,NaN,NaN
111999,Dice Rolling,NaN,NaN,NaN,NaN,NaN
2277,Betting and Bluffing,NaN,NaN,NaN,NaN,NaN
113656,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
10916,Dice Rolling, Simulation, Simultaneous Action Selection,NaN,NaN,NaN
8986,Set Collection,NaN,NaN,NaN,NaN,NaN
155314,Voting,NaN,NaN,NaN,NaN,NaN
24122,Modular Board, Tile Placement,NaN,NaN,NaN,NaN
231392,Cooperative Game, Hand Management, Variable Player Powers,NaN,NaN,NaN
7739,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
72242,Point to Point Movement,NaN,NaN,NaN,NaN,NaN
85332,Area Movement, Set Collection,NaN,NaN,NaN,NaN
108080,Campaign / Battle Card Driven, Dice Rolling, Hexagon Grid, Push Your Luck,NaN,NaN
57037,Grid Movement, Hand Management, Tile Placement, Variable Player Powers,NaN,NaN
2121,Action Points, Voting,NaN,NaN,NaN,NaN
104063,Card Drafting, Hand Management,NaN,NaN,NaN,NaN
148381,Storytelling,NaN,NaN,NaN,NaN,NaN
49392,Variable Phase Order,NaN,NaN,NaN,NaN,NaN
135812,Cooperative Game, Dice Rolling, Pattern Building, Tile Placement,NaN,NaN
1815,Adventure, Exploration, Nautical, Wargame,NaN,NaN
109143,Set Collection,NaN,NaN,NaN,NaN,NaN
665,Action / Dexterity, Childrens Game, Electronic, Real-time,NaN,NaN
3576,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
31803,Area Majority / Influence, Modular Board,NaN,NaN,NaN,NaN
183720,Roll / Spin and Move,NaN,NaN,NaN,NaN,NaN
243435,Cooperative Game,NaN,NaN,NaN,NaN,NaN
39067,Campaign / Battle Card Driven, Hexagon Grid,NaN,NaN,NaN,NaN
113301,Auction/Bidding, Dice Rolling,NaN,NaN,NaN,NaN
28060,Card Drafting, Set Collection,NaN,NaN,NaN,NaN
6399,Dice Rolling, Hexagon Grid, Simulation, Solo / Solitaire Game,NaN,NaN
176013,Area Majority / Influence, Card Drafting, Rock-Paper-Scissors, Simultaneous Action Selection, Variable Player Powers,NaN
136279,Dice, Word Game,NaN,NaN,NaN,NaN
3594,Campaign / Battle Card Driven, Hexagon Grid,NaN,NaN,NaN,NaN
177976,Memory, Player Elimination, Push Your Luck, Secret Unit Deployment,NaN,NaN
105864,Trick-taking,NaN,NaN,NaN,NaN,NaN
7487,Commodity Speculation, Dice Rolling, Stock Holding,NaN,NaN,NaN
19161,Dice Rolling,NaN,NaN,NaN,NaN,NaN
73655,Pick-up and Deliver, Tile Placement,NaN,NaN,NaN,NaN
37345,Ancient, Card Game, Economic, Humor,NaN,NaN
247394,Action Queue, Cooperative Game, Dice Rolling, Modular Board, Simultaneous Action Selection, Variable Player Powers
40773,Hand Management,NaN,NaN,NaN,NaN,NaN
68947,Hand Management, Simultaneous Action Selection,NaN,NaN,NaN,NaN
164147,Action Points, Action Queue, Deck, Dice Rolling, Passed Action Token, Push Your Luck
32466,Tile Placement,NaN,NaN,NaN,NaN,NaN
123406,Storytelling,NaN,NaN,NaN,NaN,NaN
154645,Dice Rolling, Grid Movement, Hand Management, Roll / Spin and Move, Simulation,NaN
202652,Pattern Building,NaN,NaN,NaN,NaN,NaN
5182,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
6942,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
207653,Action Points, Dice Rolling, Variable Player Powers,NaN,NaN,NaN
182487,Cooperative Game, Player Elimination, Set Collection,NaN,NaN,NaN
204201,Action Queue, Player Elimination, Simultaneous Action Selection,NaN,NaN,NaN
129309,Ancient, Wargame,NaN,NaN,NaN,NaN
248909,Player Elimination,NaN,NaN,NaN,NaN,NaN
172597,Auction/Bidding, Card Drafting, Deck,NaN,NaN,NaN
5990,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
93138,Simultaneous Action Selection,NaN,NaN,NaN,NaN,NaN
647,Card Game, Fantasy,NaN,NaN,NaN,NaN
183,Area Majority / Influence,NaN,NaN,NaN,NaN,NaN
214879,Simultaneous Action Selection,NaN,NaN,NaN,NaN,NaN
191067,Dice Rolling,NaN,NaN,NaN,NaN,NaN
97655,Dice Rolling, Modular Board, Pick-up and Deliver,NaN,NaN,NaN
1773,Variable Player Powers,NaN,NaN,NaN,NaN,NaN
122831,Card Drafting, Hand Management, Network and Route Building,NaN,NaN,NaN
244121,Dice Rolling,NaN,NaN,NaN,NaN,NaN
4016,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
182194,Cooperative Game,NaN,NaN,NaN,NaN,NaN
18579,Hand Management,NaN,NaN,NaN,NaN,NaN
32907,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
1271,Trick-taking,NaN,NaN,NaN,NaN,NaN
7609,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
96626,Hand Management, Variable Player Powers,NaN,NaN,NaN,NaN
160434,Set Collection, Trading,NaN,NaN,NaN,NaN
63868,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
152767,Area Majority / Influence, Area Movement, Hand Management, Set Collection,NaN,NaN
95364,Pattern Building,NaN,NaN,NaN,NaN,NaN
135577,Campaign / Battle Card Driven, Hexagon Grid,NaN,NaN,NaN,NaN
4953,Roll / Spin and Move,NaN,NaN,NaN,NaN,NaN
194400,Action Queue, Area Majority / Influence, Card Drafting, Dice Rolling, Hand Management,NaN
260269,Pattern Building, Tile Placement,NaN,NaN,NaN,NaN
12538,Card Drafting, Set Collection,NaN,NaN,NaN,NaN
6750,Action Points, Dice Rolling, Hand Management, Variable Player Powers,NaN,NaN
16674,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
195508,Deck,NaN,NaN,NaN,NaN,NaN
6021,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
7749,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
26233,Card Drafting,NaN,NaN,NaN,NaN,NaN
72340,Area Movement, Area-Impulse, Dice Rolling,NaN,NaN,NaN
28289,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
230266,Rock-Paper-Scissors,NaN,NaN,NaN,NaN,NaN
13645,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
131416,Card Drafting, Memory, Variable Player Powers,NaN,NaN,NaN
40830,Enclosure, Tile Placement,NaN,NaN,NaN,NaN
5479,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
140693,Memory, Player Elimination, Storytelling, Variable Player Powers, Voting,NaN
18311,Variable Phase Order,NaN,NaN,NaN,NaN,NaN
215918,Hand Management, Take That, Trading,NaN,NaN,NaN
27813,Modular Board,NaN,NaN,NaN,NaN,NaN
158492,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
222462,Betting and Bluffing, Card Drafting,NaN,NaN,NaN,NaN
217581,Auction/Bidding, Hand Management, Set Collection,NaN,NaN,NaN
4960,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
265039,Dice Rolling, Hand Management, Worker Placement,NaN,NaN,NaN
168752,Hand Management, Player Elimination, Team-Based Game, Variable Phase Order,NaN,NaN
3641,Area Majority / Influence, Area Movement, Dice Rolling,NaN,NaN,NaN
6038,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
25312,Crayon Rail System,NaN,NaN,NaN,NaN,NaN
4254,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
160664,Area Majority / Influence, Campaign / Battle Card Driven, Deck, Hand Management, Player Elimination, Team-Based Game
269456,Dice Rolling, Simulation,NaN,NaN,NaN,NaN
40455,Modular Board,NaN,NaN,NaN,NaN,NaN
54541,Hand Management, Variable Player Powers,NaN,NaN,NaN,NaN
142205,Dice Rolling, Simulation, Variable Player Powers,NaN,NaN,NaN
6946,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
2554,Animals, Racing,NaN,NaN,NaN,NaN
41032,Dice Rolling, Modular Board,NaN,NaN,NaN,NaN
246310,Dice Rolling, Variable Player Powers,NaN,NaN,NaN,NaN
158752,Set Collection,NaN,NaN,NaN,NaN,NaN
94822,Hand Management, Push Your Luck, Set Collection,NaN,NaN,NaN
21277,Bluffing, Educational, Humor, Party Game, Trivia, Word Game
5822,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
171542,Memory, Modular Board, Set Collection,NaN,NaN,NaN
38755,Card Drafting, Simulation, Tile Placement, Variable Player Powers,NaN,NaN
4671,Variable Player Powers,NaN,NaN,NaN,NaN,NaN
36616,Abstract Strategy,NaN,NaN,NaN,NaN,NaN
74311,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
99120,Dice Rolling, Grid Movement, Player Elimination, Team-Based Game, Variable Player Powers,NaN
40962,Betting and Bluffing, Memory, Roll / Spin and Move,NaN,NaN,NaN
227563,Area Majority / Influence, Deck, Dice Rolling, Set Collection,NaN,NaN
454,Point to Point Movement, Roll / Spin and Move,NaN,NaN,NaN,NaN
6476,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
