objectid,name,boardgamemechanic1,boardgamemechanic2,boardgamemechanic3,boardgamemechanic4,boardgamemechanic5,boardgamemechanic6
38062,Privacy 2,Mature / Adult, Party Game,NaN,NaN,NaN,NaN
10272,Thirty Years War Quad (second edition),Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
160524,Soccer Blast Pro Soccer Game,Dice Rolling, Simulation,NaN,NaN,NaN,NaN
15878,Rummy,Melding and Splaying, Set Collection,NaN,NaN,NaN,NaN
249590,Nevsky,Dice Rolling, Point to Point Movement, Simulation,NaN,NaN,NaN
397,Diskwars,Action Points, Variable Player Powers,NaN,NaN,NaN,NaN
224675,Frutti di Mare  Veni,Dice Rolling, Grid Movement, Player Elimination,NaN,NaN,NaN
305,Der Fliegende Holl\u00e4nder,Stock Holding, Trading,NaN,NaN,NaN,NaN
920,Ultimate Outburst,Party Game,NaN,NaN,NaN,NaN,NaN
156108,Regular Show Fluxx,Hand Management,NaN,NaN,NaN,NaN,NaN
20847,Take Stock,Commodity Speculation, Hand Management, Stock Holding,NaN,NaN,NaN
226860,Battle Kittens,Card Drafting,NaN,NaN,NaN,NaN,NaN
41006,Ordo pur,Grid Movement,NaN,NaN,NaN,NaN,NaN
7922,The 6 Days of Glory,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
140236,Convert,Area Majority / Influence, Pattern Building, Tile Placement,NaN,NaN,NaN
246938,Wonderland,Area Majority / Influence, Hand Management,NaN,NaN,NaN,NaN
241590,Smart10,Push Your Luck,NaN,NaN,NaN,NaN,NaN
42688,Hibernia,Area Movement, Dice Rolling,NaN,NaN,NaN,NaN
2472,Grave Robbers From Outer Space,Card Game, Horror, Humor, Movies / TV / Radio theme, Science Fiction,NaN
7089,Panzer Grenadier  Afrika Korps,Dice Rolling, Hexagon Grid, Modular Board, Secret Unit Deployment, Simulation,NaN
244795,Lost Cities  To Go,Push Your Luck, Set Collection,NaN,NaN,NaN,NaN
125675,Doctor Who  The Card Game,Area Majority / Influence, Card Drafting, Hand Management, Secret Unit Deployment, Take That,NaN
2627,Poisson d'Avril,Fantasy,NaN,NaN,NaN,NaN,NaN
230785,Dream Catchers,Cooperative Game, Grid Movement, Hand Management,NaN,NaN,NaN
15911,San Ta Si,Abstract Strategy, Puzzle,NaN,NaN,NaN,NaN
18529,The Penguin Book of Card Games,Auction/Bidding, Betting and Bluffing, Hand Management, Memory, Pattern Building, Set Collection
260786,Unstable Unicorns  Chaos,Hand Management, Set Collection, Take That,NaN,NaN,NaN
228378,End of the Trail,Auction/Bidding, Hand Management, Memory, Modular Board, Push Your Luck, Set Collection
461,Freibeuter,Area Majority / Influence, Hand Management,NaN,NaN,NaN,NaN
113971,La Bataille de Dresde,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
177210,Eight Epics Kanai Factory Limited Edition,Cooperative Game, Dice Rolling, Variable Player Powers,NaN,NaN,NaN
196698,Gruff  Clash of the Battle Goats,Campaign / Battle Card Driven, Variable Player Powers,NaN,NaN,NaN,NaN
255516,Brave Little Belgium,Chit-Pull System, Dice Rolling, Point to Point Movement, Simulation,NaN,NaN
39406,Talat,Abstract Strategy,NaN,NaN,NaN,NaN,NaN
148744,City of Zombies,Cooperative Game, Dice Rolling,NaN,NaN,NaN,NaN
138728,Domus Domini,Worker Placement,NaN,NaN,NaN,NaN,NaN
7748,The Italian Front  1915-1918,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
257667,Tag City,Dice Rolling, Paper-and-Pencil,NaN,NaN,NaN,NaN
158876,British Vs Pirates  Volume 1,Dice Rolling, Modular Board,NaN,NaN,NaN,NaN
216,Atlanteon,Area Majority / Influence, Tile Placement,NaN,NaN,NaN,NaN
256779,Exceed  Seventh Cross \u2013 Hunters vs. Demons Box,Hand Management, Point to Point Movement, Variable Player Powers,NaN,NaN,NaN
172006,Shadowstar Corsairs,Area Majority / Influence, Grid Movement, Modular Board, Pick-up and Deliver, Take That, Variable Player Powers
218314,3 Secrets,Cooperative Game,NaN,NaN,NaN,NaN,NaN
104555,The Blue Lion,Memory, Pattern Building,NaN,NaN,NaN,NaN
31410,Im Reich der Jadeg\u00f6ttin,Modular Board, Set Collection, Tile Placement,NaN,NaN,NaN
205766,Mino & Tauri,Cooperative Game, Elapsed Real Time Ending, Hidden Movement, Real-Time,NaN,NaN
28004,Legendary Dungeoneer  Wrath of the Serpent Goddess,Dice Rolling, Modular Board, Tile Placement, Variable Player Powers,NaN,NaN
20623,Alien City,Modular Board, Tile Placement,NaN,NaN,NaN,NaN
265754,Exceed  Street Fighter \u2013 M. Bison Box,Hand Management, Point to Point Movement, Variable Player Powers,NaN,NaN,NaN
59223,Diego Drachenzahn,Action / Dexterity, Bluffing, Childrens Game, Fantasy,NaN,NaN
150533,Samurai Gardener,Tile Placement,NaN,NaN,NaN,NaN,NaN
34375,Go Nuts!,Dice Rolling, Push Your Luck,NaN,NaN,NaN,NaN
9360,The Royal Navy,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
671,Bull Run  The First Major Battle of the American Civil War,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
87893,Take It or Leave It,Dice Rolling,NaN,NaN,NaN,NaN,NaN
220499,Mask of Moai,Cooperative Game, Tile Placement, Time Track,NaN,NaN,NaN
186793,Barnyard Roundup,Hand Management, Set Collection, Take That,NaN,NaN,NaN
102275,Lord of the Rings  The Adventure Deck Game,Card Drafting, Push Your Luck,NaN,NaN,NaN,NaN
232981,Tanto Cuore  Winter Romance,Deck,NaN,NaN,NaN,NaN,NaN
192858,Mrs Thatcher's War  The Falklands,Area Majority / Influence, Area Movement, Chit-Pull System, Dice Rolling, Secret Unit Deployment, Simulation
49261,Kraby,Enclosure, Hand Management, Pattern Building, Stock Holding, Tile Placement,NaN
146144,A.E.G.I.S.  Combining Robot Strategy Game,Action Points, Area Majority / Influence, Dice Rolling, Grid Movement, Modular Board, Player Elimination
1208,1851  Kentucky & Tennessee,Network and Route Building, Stock Holding, Tile Placement,NaN,NaN,NaN
162292,The Draugr,Area Majority / Influence, Dice Rolling, Modular Board,NaN,NaN,NaN
214758,N  The Napoleonic Wars,Area Majority / Influence, Area Movement, Chit-Pull System, Dice Rolling,NaN,NaN
167283,Circular Reasoning  The Well of Power,Area Movement, Grid Movement, Memory,NaN,NaN,NaN
193248,Get Off My Land!,Action Points, Area Majority / Influence,NaN,NaN,NaN,NaN
182050,Germania Magna  Border in Flames,Card Drafting, Cooperative Game, Dice Rolling, Hand Management,NaN,NaN
470,Road to the White House,Political,NaN,NaN,NaN,NaN,NaN
181464,D6 Shooter,Push Your Luck,NaN,NaN,NaN,NaN,NaN
228452,Adamastor,Card Drafting, Cooperative Game, Hand Management, Point to Point Movement,NaN,NaN
257306,High Score,Push Your Luck, Variable Player Powers,NaN,NaN,NaN,NaN
148036,Risk  Plants vs. Zombies,Area Majority / Influence, Variable Player Powers,NaN,NaN,NaN,NaN
191374,Telepathy  Washington State Edition,Abstract Strategy, Deduction, Educational, Puzzle,NaN,NaN
16197,Rivoli 1797,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
209567,Upstream,Action Points, Grid Movement, Modular Board, Tile Placement,NaN,NaN
67123,Tank on Tank,Chit-Pull System, Dice Rolling, Hexagon Grid,NaN,NaN,NaN
1373,Midway,Hexagon Grid, Secret Unit Deployment,NaN,NaN,NaN,NaN
140314,High Heavens,Action Points, Grid Movement, Hand Management,NaN,NaN,NaN
156945,The Front Nine,Card Drafting, Set Collection, Tile Placement,NaN,NaN,NaN
169675,L'osti d'jeu,Hand Management, Simultaneous Action Selection,NaN,NaN,NaN,NaN
7064,Senjutsu  Dynamic Samurai Combat,Secret Unit Deployment,NaN,NaN,NaN,NaN,NaN
96602,Footy Manager,Dice Rolling, Paper-and-Pencil, Simulation,NaN,NaN,NaN
11429,The Rising Sun  Command at Sea Volume I,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
205961,Travelin',Hand Management, Point to Point Movement, Take That,NaN,NaN,NaN
3977,Strong Stuff!,Dice Rolling, Roll / Spin and Move,NaN,NaN,NaN,NaN
237629,Cortex Challenge 2,Memory, Pattern Recognition,NaN,NaN,NaN,NaN
236143,Museum Rush,Push Your Luck, Take That, Tile Placement, Time Track,NaN,NaN
158861,Athlas  Duel for Divinity,Deck, Modular Board,NaN,NaN,NaN,NaN
2213,Revolt on Antares,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
169375,How To Serve Man,Hand Management, Worker Placement,NaN,NaN,NaN,NaN
189925,Ludi Gladiatorii,Auction/Bidding, Campaign / Battle Card Driven, Card Drafting,NaN,NaN,NaN
202564,Cookie Box,Memory, Pattern Recognition,NaN,NaN,NaN,NaN
26472,Dragon Parade,Hand Management,NaN,NaN,NaN,NaN,NaN
43196,Yalu  The Chinese Counteroffensive in Korea  November 1950-May 1951 (second edition),Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
9792,Oriente,Team-Based Game, Variable Player Powers, Voting,NaN,NaN,NaN
164446,Way of the Fighter  Super,Action Queue, Dice Rolling, Hand Management, Push Your Luck, Variable Player Powers,NaN
232078,Pot de Vin,Hand Management, Set Collection, Trick-taking,NaN,NaN,NaN
34819,Pengoloo,Memory, Set Collection,NaN,NaN,NaN,NaN
3523,Decision At Kasserine,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
198700,Justice League  Hero Dice \u2013 Flash,Cooperative Game, Dice Rolling, Variable Player Powers,NaN,NaN,NaN
217609,Wars of Marcus Aurelius  Rome 170-180CE,Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement, Solo / Solitaire Game,NaN,NaN
266177,Tsuro  Phoenix Rising,Hand Management, Network and Route Building, Set Collection, Tile Placement,NaN,NaN
84088,Fauna junior,Betting and Bluffing,NaN,NaN,NaN,NaN,NaN
176215,Odyssey  Wrath of Poseidon,Area Movement, Team-Based Game,NaN,NaN,NaN,NaN
32,Buffalo Chess,Abstract Strategy, American West,NaN,NaN,NaN,NaN
127324,Storm Hollow  A Storyboard Game,Cooperative Game, Dice Rolling, Role Playing, Storytelling, Variable Player Powers,NaN
44558,Beer & Pretzels,Tile Placement,NaN,NaN,NaN,NaN,NaN
192315,Widower's Wood  An Iron Kingdoms Adventure Board Game,Cooperative Game, Dice Rolling, Grid Movement, Hand Management, Role Playing, Variable Player Powers
193584,The Last Garden,Area Majority / Influence, Betting and Bluffing, Hand Management, Take That, Worker Placement,NaN
168792,Secret Weapons of the Third Reich,Card Drafting, Cooperative Game, Worker Placement,NaN,NaN,NaN
4510,Johnny Reb III,Campaign / Battle Card Driven, Secret Unit Deployment, Simultaneous Action Selection,NaN,NaN,NaN
184117,ManaSurge,Hand Management, Take That,NaN,NaN,NaN,NaN
485,Galloping Pigs,Animals, Card Game, Childrens Game,NaN,NaN,NaN
6516,Titan Legions,Dice Rolling, Modular Board, Point to Point Movement, Secret Unit Deployment, Variable Phase Order, Variable Player Powers
145478,HeartSwitch,Trick-taking,NaN,NaN,NaN,NaN,NaN
174243,Bridges to Nowhere,Card Drafting, Pattern Building, Set Collection, Tile Placement,NaN,NaN
2778,Gondor,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
195373,BOO,Area Majority / Influence, Enclosure, Pattern Building,NaN,NaN,NaN
30795,Babylon 5  A Call to Arms (Second Edition),Dice Rolling, Simulation,NaN,NaN,NaN,NaN
230553,Dragon Ball Super Card Game  UNIVERSE 6 ASSAILANTS Expert Deck XD01,Hand Management,NaN,NaN,NaN,NaN,NaN
3724,1809  Napoleon's Danube Campaign,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
259121,Less Than 60 Miles,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
6197,The Sun of Austerlitz,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
102881,Trench  Minimalista Edition,Grid Movement,NaN,NaN,NaN,NaN,NaN
5021,The Struggle of Nations,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
585,Kardinal,Tile Placement,NaN,NaN,NaN,NaN,NaN
26859,Kragmortha,Acting, Area Movement, Card Drafting, Player Elimination,NaN,NaN
284832,Sloboda,Worker Placement,NaN,NaN,NaN,NaN,NaN
143416,Gothic Doctor,Hand Management, Set Collection,NaN,NaN,NaN,NaN
274405,The Menace Among Us,Variable Player Powers,NaN,NaN,NaN,NaN,NaN
188021,Doughnut Drive-Thru,Dice Rolling, Worker Placement,NaN,NaN,NaN,NaN
272993,Dragonrealm,Area Majority / Influence, Dice Rolling, Hand Management,NaN,NaN,NaN
172600,Dungeon Busters,Hand Management, Simultaneous Action Selection,NaN,NaN,NaN,NaN
109922,Combat Infantry  WestFront 1944-45,Dice Rolling, Hexagon Grid, Modular Board, Secret Unit Deployment,NaN,NaN
70097,Arriala  Canal de Garonne,Action Points, Area Majority / Influence, Point to Point Movement,NaN,NaN,NaN
175464,Les Quatre-Bras & Waterloo 1815  The Empire's Final Blows,Chit-Pull System, Hexagon Grid,NaN,NaN,NaN,NaN
22863,Luck of the Draw,Line Drawing, Paper-and-Pencil, Voting,NaN,NaN,NaN
257707,Unlock! In Pursuit of Cabrakan,Cooperative Game, Storytelling,NaN,NaN,NaN,NaN
5332,Split (Revised Edition),Pattern Building,NaN,NaN,NaN,NaN,NaN
128568,(Your Name Here) and the Argonauts,Dice Rolling, Push Your Luck,NaN,NaN,NaN,NaN
224319,One Minute Game,Pattern Recognition, Tile Placement,NaN,NaN,NaN,NaN
590,Mille Bornes,Hand Management, Take That, Team-Based Game,NaN,NaN,NaN
148144,Dreaming Spires,Auction/Bidding, Simulation, Tile Placement, Variable Player Powers,NaN,NaN
772,Ausbrecher AG,Betting and Bluffing, Dice Rolling, Paper-and-Pencil, Roll / Spin and Move,NaN,NaN
230968,Panic Island!,Cooperative Game, Memory,NaN,NaN,NaN,NaN
104655,Lemonade Stand,Simulation, Simultaneous Action Selection,NaN,NaN,NaN,NaN
21463,John Silver,Trick-taking,NaN,NaN,NaN,NaN,NaN
23400,Napoleon at the Crossroads,Action Points, Hexagon Grid,NaN,NaN,NaN,NaN
242753,Warhammer 40,Deck, Dice Rolling, Variable Player Powers,NaN,NaN,NaN
314,Highlanders,Action Points, Point to Point Movement,NaN,NaN,NaN,NaN
199269,1572  The Lost Expedition,Dice Rolling, Line Drawing, Push Your Luck, Variable Player Powers,NaN,NaN
45319,Alcazar,Stock Holding,NaN,NaN,NaN,NaN,NaN
126789,Risk  Halo Legendary Edition,Area Majority / Influence, Area Movement, Dice Rolling,NaN,NaN,NaN
255332,Vault of Dragons,Gale Force Nine,NaN,NaN,NaN,NaN,NaN
254188,Blank Slate,Paper-and-Pencil,NaN,NaN,NaN,NaN,NaN
5157,Supercheckers,Grid Movement,NaN,NaN,NaN,NaN,NaN
4363,Seven Pines,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
88190,Hurtgen  Hell's Forest,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
262201,Sword & Sorcery  Ancient Chronicles,Action Points, Area Movement, Cooperative Game, Dice Rolling, Modular Board, Role Playing
216985,Nomads,Set Collection,NaN,NaN,NaN,NaN,NaN
155633,Zombies Keep Out,Cooperative Game, Hand Management, Trading,NaN,NaN,NaN
73472,Pirates vs. Dinosaurs,Dice Rolling, Hand Management, Memory, Variable Player Powers,NaN,NaN
185845,Dropfleet Commander,Dice Rolling, Variable Player Powers,NaN,NaN,NaN,NaN
1187,The Fellowship of the Ring,Hexagon Grid, Secret Unit Deployment,NaN,NaN,NaN,NaN
1558,Rogue Trooper,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
278297,Choose Your Own Adventure  War with the Evil Power Master,Cooperative Game, Hand Management, Narrative Choice / Paragraph, Storytelling,NaN,NaN
9673,Black Elephant,Area Movement, Pick-up and Deliver,NaN,NaN,NaN,NaN
182541,Rory's Story Cubes  Batman,Cooperative Game, Dice Rolling, Pattern Recognition, Storytelling,NaN,NaN
128999,Gran Circo,Card Drafting, Hand Management, Set Collection, Variable Player Powers,NaN,NaN
284217,Rush M.D.,Cooperative Game, Worker Placement,NaN,NaN,NaN,NaN
242325,\u30c8\u30ea\u30c3\u30af\u3068\u602a\u4eba (Tricks and the Phantom),Bluffing, Card Game, Deduction,NaN,NaN,NaN
144499,Pasha,Dice Rolling, Hand Management,NaN,NaN,NaN,NaN
401,Gold Connection,Dice Rolling, Push Your Luck, Set Collection,NaN,NaN,NaN
964,Kapit\u00e4n Wackelpudding,Action / Dexterity, Childrens Game, Nautical, Party Game,NaN,NaN
8702,1807  The Eagles Turn East,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
389,Die Mauer,Simultaneous Action Selection,NaN,NaN,NaN,NaN,NaN
198701,Justice League  Hero Dice \u2013 Green Lantern,Cooperative Game, Dice Rolling, Variable Player Powers,NaN,NaN,NaN
4959,Crusader,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
73543,Tadaaam!,Line Drawing, Paper-and-Pencil, Team-Based Game,NaN,NaN,NaN
11111,Red Star\/White Eagle  The Russo-Polish War,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
1278,Dutch InterCity,Auction/Bidding, Simultaneous Action Selection, Stock Holding,NaN,NaN,NaN
6814,8th Army  Operation Crusader,Hexagon Grid, Secret Unit Deployment,NaN,NaN,NaN,NaN
1572,Situation 4,Area Majority / Influence, Team-Based Game,NaN,NaN,NaN,NaN
9865,Z\u00fcrich 1799,Dice Rolling, Hexagon Grid, Simulation,NaN,NaN,NaN
150010,Tiger Leader,Card Drafting, Simulation,NaN,NaN,NaN,NaN
23977,Hell Dorado,Dice Rolling,NaN,NaN,NaN,NaN,NaN
201446,Shifting Realms,Area Majority / Influence, Grid Movement, Modular Board,NaN,NaN,NaN
193417,Captains of the Golden Age,Hand Management, Memory, Pick-up and Deliver, Rock-Paper-Scissors, Trading,NaN
202737,Box of Rocks,Humor, Party Game, Trivia,NaN,NaN,NaN
106978,World at War  America Conquered,Chit-Pull System, Dice Rolling, Hexagon Grid,NaN,NaN,NaN
265755,Exceed  Street Fighter \u2013 Chun-Li Box,Hand Management, Point to Point Movement, Variable Player Powers,NaN,NaN,NaN
1722,Caesar's Legions,Hexagon Grid, Secret Unit Deployment, Simultaneous Action Selection,NaN,NaN,NaN
168230,The Supershow,Deck, Dice Rolling, Variable Player Powers,NaN,NaN,NaN
214123,Moa,Area Majority / Influence, Hand Management,NaN,NaN,NaN,NaN
108429,Age of Reason,Area Majority / Influence, Auction/Bidding, Dice Rolling,NaN,NaN,NaN
202582,Trellis,Area Majority / Influence, Pattern Building, Tile Placement,NaN,NaN,NaN
250355,All Manor of Evil,Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Take That,NaN
4168,Blitzkrieg,Dice Rolling, Hexagon Grid, Zone of Control,NaN,NaN,NaN
13542,De Ontembare Stad,Area Majority / Influence, Hand Management,NaN,NaN,NaN,NaN
220284,Zombie Dawn,Area Movement, Dice Rolling, Grid Movement, Hand Management, Modular Board, Tile Placement
4916,Great War at Sea  1904-1905,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
11166,Brandywine & Germantown,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
7382,Chickamauga  The Confederacy's Last Hope,Chit-Pull System, Dice Rolling, Hexagon Grid, Simulation,NaN,NaN
208256,Munchkin Grimm Tidings,Take That, Variable Player Powers,NaN,NaN,NaN,NaN
1144,The Warlock of Firetop Mountain,Role Playing, Set Collection,NaN,NaN,NaN,NaN
1836,Solarquest,Set Collection, Trading,NaN,NaN,NaN,NaN
230731,Forest of Fate,Cooperative Game, Player Elimination, Role Playing, Storytelling, Take That, Variable Player Powers
287941,Formosa Tea,Worker Placement,NaN,NaN,NaN,NaN,NaN
2936,Dice Run,Dice Rolling, Hand Management,NaN,NaN,NaN,NaN
111119,Perplexus Rookie,Maze,NaN,NaN,NaN,NaN,NaN
261,Olympia 2000 (v. Chr.),Simultaneous Action Selection,NaN,NaN,NaN,NaN,NaN
3015,Claim,Modular Board, Team-Based Game,NaN,NaN,NaN,NaN
22924,Card Football  Premiere Edition,Hand Management, Simulation, Simultaneous Action Selection,NaN,NaN,NaN
216357,Kiwetin,Take That,NaN,NaN,NaN,NaN,NaN
2300,Invasion Sicily,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
279204,The North,Action Points, Deck, Hand Management,NaN,NaN,NaN
148639,Founders of the Empire,Tile Placement,NaN,NaN,NaN,NaN,NaN
193818,Basketball Age,Action Queue, Area Movement, Dice Rolling, Simulation, Variable Player Powers,NaN
168512,X-Men  Mutant Revolution,Auction/Bidding, Dice Rolling, Hand Management, Take That, Variable Player Powers,NaN
162367,Co-Mix,Storytelling, Voting,NaN,NaN,NaN,NaN
125318,Swords of Sovereignty  Bouvines 1214 \u2013 Worringen 1288,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
240827,Dragons,Card Drafting, Push Your Luck, Set Collection,NaN,NaN,NaN
272599,Deadly Doodles,Steve Jackson Games,NaN,NaN,NaN,NaN,NaN
3269,Cluedo  The Card Game,Card Game, Deduction, Murder/Mystery,NaN,NaN,NaN
9300,Clay-O-Rama,Variable Player Powers,NaN,NaN,NaN,NaN,NaN
197409,The Heroes of Kaskaria,Set Collection,NaN,NaN,NaN,NaN,NaN
185276,Keep,Card Drafting, Take That,NaN,NaN,NaN,NaN
210113,Tank Chess  Rollup,Grid Movement, Simulation,NaN,NaN,NaN,NaN
27609,Numbers League  Superhelden Strijden met Cijfers,Set Collection,NaN,NaN,NaN,NaN,NaN
191070,Dream Islands,Action Points, Hand Management, Point to Point Movement,NaN,NaN,NaN
41849,1866  The Struggle for Supremacy in Germany,Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement, Simulation,NaN,NaN
1335,Gnadenlos!,Auction/Bidding,NaN,NaN,NaN,NaN,NaN
203087,Nine Years  The War of the Grand Alliance 1688-1697,Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement,NaN,NaN,NaN
208918,DC Comics Dice Masters  Superman and Wonder Woman Starter Set,Deck, Dice Rolling, Variable Player Powers,NaN,NaN,NaN
203312,Infinity  Operation Red Veil,Action Points, Dice Rolling, Point to Point Movement,NaN,NaN,NaN
59161,Sitting Ducks Deluxe,Hand Management,NaN,NaN,NaN,NaN,NaN
1189,The King's War,Point to Point Movement,NaN,NaN,NaN,NaN,NaN
265684,Subtext,Paper-and-Pencil, Voting,NaN,NaN,NaN,NaN
3818,Alias,Acting, Point to Point Movement, Team-Based Game,NaN,NaN,NaN
7177,Semper Fi  Guadalcanal,Dice Rolling, Hexagon Grid, Secret Unit Deployment, Simulation,NaN,NaN
2978,Stratego 4,Area Movement, Memory, Secret Unit Deployment, Team-Based Game,NaN,NaN
65565,Flicochet,Flicking, Team-Based Game,NaN,NaN,NaN,NaN
17925,Anno Domini  Im Namen des Gesetzes,Card Drafting,NaN,NaN,NaN,NaN,NaN
236650,1985  Under an Iron Sky,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
7420,Star Wars Miniatures Battles,Dice Rolling, Paper-and-Pencil, Secret Unit Deployment,NaN,NaN,NaN
182953,Rory's Story Cubes  Schrecken,Cooperative Game, Dice Rolling, Pattern Recognition, Storytelling,NaN,NaN
104340,Triage,Modular Board, Pick-up and Deliver, Simulation,NaN,NaN,NaN
131017,La B\u00e9r\u00e9zina 1812,Chit-Pull System, Hexagon Grid,NaN,NaN,NaN,NaN
2538,Viceroys,Grid Movement, Variable Player Powers,NaN,NaN,NaN,NaN
292034,Funkoverse Strategy Game  DC 4-Pack,Action Points, Dice Rolling, Grid Movement, Variable Player Powers,NaN,NaN
173648,Booty,I Cut,NaN,NaN,NaN,NaN,NaN
197705,Defense Grid  The Board Game,Cooperative Game, Deck, Variable Player Powers,NaN,NaN,NaN
168662,The Siege of Orgun,Area-Impulse, Dice Rolling, Simulation,NaN,NaN,NaN
41372,Zombie in my Pocket,Cooperative Game, Player Elimination, Prisoners Dilemma, Simultaneous Action Selection,NaN,NaN
259069,Punto,Pattern Building, Team-Based Game, Tile Placement,NaN,NaN,NaN
7090,Scottish Corridor  Lion Rampant,Dice Rolling, Hexagon Grid, Secret Unit Deployment, Simulation,NaN,NaN
220926,Rick and Morty  Anatomy Park \u2013 The Game,Acting, Grid Movement, Hand Management, Modular Board, Tile Placement,NaN
4146,Battle for Italy,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
158535,Spells of Doom,Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Variable Player Powers,NaN
4121,Road to the Rhine,Dice Rolling, Hexagon Grid,NaN,NaN,NaN,NaN
149286,Hanau 1813,Chit-Pull System, Hexagon Grid,NaN,NaN,NaN,NaN
180938,\u51b0\u96ea\u9023\u5929,Cooperative Game,NaN,NaN,NaN,NaN,NaN
280794,Etherfields,Cooperative Game, Deck, Grid Movement, Modular Board, Role Playing, Storytelling
6974,Barbu,Trick-taking,NaN,NaN,NaN,NaN,NaN
10248,Panther Line  Army Group North 1944,Dice Rolling, Hexagon Grid, Secret Unit Deployment, Simulation,NaN,NaN
22606,Won by the Sword,Campaign / Battle Card Driven, Point to Point Movement,NaN,NaN,NaN,NaN
129029,Brawling Barons,Hand Management,NaN,NaN,NaN,NaN,NaN
152345,La Patrie en Danger 1814,Hexagon Grid, Simulation,NaN,NaN,NaN,NaN
234104,The Valley of Alchemists,Pattern Building, Set Collection,NaN,NaN,NaN,NaN
264638,5x5 City,Tile Placement,NaN,NaN,NaN,NaN,NaN
178166,No Time For Heroes,Card Drafting, Hand Management, Variable Player Powers,NaN,NaN,NaN
5702,Second World War at Sea  Eastern Fleet,Hexagon Grid,NaN,NaN,NaN,NaN,NaN
246696,Monster Match,Dice Rolling, Pattern Recognition,NaN,NaN,NaN,NaN
5178,Marrakesh,Modular Board,NaN,NaN,NaN,NaN,NaN
246759,You've Got Crabs,Hand Management, Set Collection, Simultaneous Action Selection, Take That, Team-Based Game,NaN
55131,Murus Gallicus,Grid Movement,NaN,NaN,NaN,NaN,NaN
76322,Double Bananagrams,Tile Placement,NaN,NaN,NaN,NaN,NaN
240584,Blend Coffee Lab.,Hand Management, Set Collection, Trick-taking,NaN,NaN,NaN
99770,Arcanum,Hand Management,NaN,NaN,NaN,NaN,NaN
165586,Adventure Tours,Hand Management, Take That, Variable Player Powers,NaN,NaN,NaN
165719,Super Fantasy  Night of the Badly Dead,Cooperative Game, Dice Rolling, Modular Board, Variable Player Powers,NaN,NaN
917,Racko Rummy,Pattern Building,NaN,NaN,NaN,NaN,NaN
164627,Brewin' USA,Area Majority / Influence, Auction/Bidding, Hand Management, Modular Board, Set Collection,NaN
283748,Dragonscales,Fantasy,NaN,NaN,NaN,NaN,NaN
179929,JurassAttack!,Hand Management, Simultaneous Action Selection,NaN,NaN,NaN,NaN
15435,Starship Troopers Miniatures Game,Simulation,NaN,NaN,NaN,NaN,NaN
77361,Photo Party,Humor, Party Game,NaN,NaN,NaN,NaN
276042,Conspiracy  Abyss Universe,Card Drafting, Pattern Building, Set Collection, Tile Placement,NaN,NaN
197588,Xibalba,Action Points, Area Majority / Influence, Dice Rolling, Worker Placement,NaN,NaN
7204,China Moon,Point to Point Movement, Set Collection,NaN,NaN,NaN,NaN
184170,DiceWar  Light of Dragons,Area Majority / Influence, Area Movement, Grid Movement, Player Elimination,NaN,NaN
38402,Sidibaba,Simultaneous Action Selection, Team-Based Game, Variable Player Powers, Voting,NaN,NaN
260316,Promenade,Deck,NaN,NaN,NaN,NaN,NaN
192829,SOW,Area Movement, Pattern Recognition, Pick-up and Deliver, Set Collection,NaN,NaN
156420,Geek Out! Pop Culture Party,Auction/Bidding, Dice Rolling,NaN,NaN,NaN,NaN
32048,Bobbin' Bumblebee,Player Elimination,NaN,NaN,NaN,NaN,NaN
