objectid,name,boardgamemechanic1,boardgamemechanic2,boardgamemechanic3,boardgamemechanic4,boardgamemechanic5,boardgamemechanic6
175155,Forbidden Stars,Area Majority / Influence, Dice Rolling, Hand Management, Modular Board, Order Counters, Variable Player Powers
172287,Champions of Midgard,Card Drafting, Dice Rolling, Set Collection, Variable Player Powers, Worker Placement with Dice Workers,NaN
104162,Descent  Journeys in the Dark (Second Edition),Action Points, Dice Rolling, Grid Movement, Hand Management, Line of Sight, Modular Board
161970,Alchemists,Card Drafting, Constrained Bidding, End Game Bonuses, Events, Hand Management, Turn Order: Progressive
203993,Lorenzo il Magnifico,Card Drafting, Dice Rolling, Variable Player Powers, Worker Placement,NaN,NaN
147020,Star Realms,Card Drafting, Deck, Hand Management, Take That,NaN,NaN
146652,Legendary Encounters  An Alien Deck Building Game,Card Drafting, Cooperative Game, Deck, Player Elimination, Solo / Solitaire Game, Team-Based Game
9609,War of the Ring,Action Points, Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management
244521,The Quacks of Quedlinburg,Catch the Leader, Deck, Dice Rolling, Push Your Luck,NaN,NaN
148949,Istanbul,Dice Rolling, Grid Movement, Modular Board, Pick-up and Deliver, Race,NaN
155821,Inis,Action Drafting, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Modular Board
103343,A Game of Thrones  The Board Game (Second Edition),Area Majority / Influence, Area Movement, Auction/Bidding, Hand Management, Order Counters, Player Elimination
155426,Castles of Mad King Ludwig,Auction/Bidding, Card Drafting, End Game Bonuses, Pattern Building, Set Collection, Tile Placement
128882,The Resistance  Avalon,Hidden Roles, Memory, Roles with Asymmetric Information, Simultaneous Action Selection, Team-Based Game, Traitor Game
14996,Ticket to Ride  Europe,Card Drafting, Hand Management, Network and Route Building, Push Your Luck, Set Collection,NaN
233371,Clank! In! Space!,Card Drafting, Deck, Modular Board, Player Elimination, Point to Point Movement, Push Your Luck
43111,Chaos in the Old World,Action Points, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Role Playing
225694,Decrypto,Communication Limits, Targeted Clues, Team-Based Game,NaN,NaN,NaN
17133,Railways of the World,Action Points, Auction/Bidding, Card Drafting, Network and Route Building, Pick-up and Deliver, Tile Placement
