objectid,publisher,publisher,publisher,publisher,publisher,publisher
5346,LArbre a Jouer, Aurora, Chad Valley Co Ltd., Coleco Industries, Dal Negro, Holz und Spiel
39998,EpicTCG.com,NaN,NaN,NaN,NaN,NaN
2263,3W (World Wide Wargames),NaN,NaN,NaN,NaN,NaN
231476,Japanime Games, Strange Machine Games,NaN,NaN,NaN,NaN
35635,(Web published),NaN,NaN,NaN,NaN,NaN
2040,Aladdin, Benassi Enterprises, Das Spiel,NaN,NaN,NaN
107181,Screenlife,NaN,NaN,NaN,NaN,NaN
137968,Galactic Sneeze,NaN,NaN,NaN,NaN,NaN
138729,NSB Games,NaN,NaN,NaN,NaN,NaN
96564,Table Tactics,NaN,NaN,NaN,NaN,NaN
143703,Derpy Games,NaN,NaN,NaN,NaN,NaN
176642,u685cu904au5eb5 (Ouyuuan),NaN,NaN,NaN,NaN,NaN
151410,1A Games,NaN,NaN,NaN,NaN,NaN
173408,Ludofy Creative,NaN,NaN,NaN,NaN,NaN
69721,Mattel,NaN,NaN,NaN,NaN,NaN
56195,Pfifficus Spiele,NaN,NaN,NaN,NaN,NaN
14523,Lost Battalion Games,NaN,NaN,NaN,NaN,NaN
255640,Decision Games (I),NaN,NaN,NaN,NaN,NaN
1832,Cheapass Games,NaN,NaN,NaN,NaN,NaN
185244,(Web published), Brote de juegos,NaN,NaN,NaN,NaN
112445,Break From Reality Games,NaN,NaN,NaN,NaN,NaN
21457,Out of the Box Publishing,NaN,NaN,NaN,NaN,NaN
184490,GaGa Games, Igel Spiele,NaN,NaN,NaN,NaN
34195,Multi-Man Publishing,NaN,NaN,NaN,NaN,NaN
21506,Hasbro, Parker Brothers,NaN,NaN,NaN,NaN
154633,Hasbro,NaN,NaN,NaN,NaN,NaN
10968,Milton Bradley,NaN,NaN,NaN,NaN,NaN
23643,Decision Games (I),NaN,NaN,NaN,NaN,NaN
6086,Eurogames, International Team,NaN,NaN,NaN,NaN
69,Cadaco, The London Game Company LTD,NaN,NaN,NaN,NaN
5704,Gigamic, Rio Grande Games, Zoch Verlag,NaN,NaN,NaN
19623,SimplyFun,NaN,NaN,NaN,NaN,NaN
88045,Vae Victis,NaN,NaN,NaN,NaN,NaN
2889,Rhino Ventures,NaN,NaN,NaN,NaN,NaN
261370,Baloise Group,NaN,NaN,NaN,NaN,NaN
270350,BARD Games LLC,NaN,NaN,NaN,NaN,NaN
209850,Brain Games, Granna, Jolly Thinkers, LOGIS,NaN,NaN
217344,Schmidt Spiele,NaN,NaN,NaN,NaN,NaN
256999,Artipia Games, CMON Limited,NaN,NaN,NaN,NaN
86433,Morphology Games,NaN,NaN,NaN,NaN,NaN
14299,Vae Victis,NaN,NaN,NaN,NaN,NaN
118051,KOSMOS,NaN,NaN,NaN,NaN,NaN
124918,Cheeky Parrot Games, SchilMil Games,NaN,NaN,NaN,NaN
231575,One Method Monkey,NaN,NaN,NaN,NaN,NaN
184247,Ion Game Design,NaN,NaN,NaN,NaN,NaN
11983,Kidultgame, New Games Order,NaN,NaN,NaN,NaN
166650,Zafty Games (Zafty),NaN,NaN,NaN,NaN,NaN
5321,Capiu00e9pa - Jeux u00c9ducatifs, Hausser, Rojas y Malaret, Waddingtons Games,NaN,NaN
171665,Ravensburger Spieleverlag GmbH,NaN,NaN,NaN,NaN,NaN
3402,Gazebo Games UK Ltd.,NaN,NaN,NaN,NaN,NaN
2415,ABACUSSPIELE, Real Original Games, Tailten Games,NaN,NaN,NaN
13771,3W (World Wide Wargames),NaN,NaN,NaN,NaN,NaN
92177,Drumond Park Ltd.,NaN,NaN,NaN,NaN,NaN
8336,Adlung-Spiele, Gamewright,NaN,NaN,NaN,NaN
8965,Goliath B.V. (Board Game), Holzinsel, NFFX Design,NaN,NaN,NaN
12562,Kokusai-Tsushin Co., XTR Corp,NaN,NaN,NaN,NaN
246723,Borderline Editions,NaN,NaN,NaN,NaN,NaN
69582,Asmodee,NaN,NaN,NaN,NaN,NaN
21666,Atlas Games, Raiding Party Games,NaN,NaN,NaN,NaN
10308,3W (World Wide Wargames),NaN,NaN,NaN,NaN,NaN
246346,Hellion Cat,NaN,NaN,NaN,NaN,NaN
224815,Arclight, Switch Games,NaN,NaN,NaN,NaN
163031,Playford Games,NaN,NaN,NaN,NaN,NaN
98352,Galu00e1pagos Jogos,NaN,NaN,NaN,NaN,NaN
286751,CMON Limited, YOKA Games,NaN,NaN,NaN,NaN
5303,APBA International,NaN,NaN,NaN,NaN,NaN
9438,(Web published), The Avalon Hill Intercontinental Kriegspiel Society, Decision Games (I),NaN,NaN,NaN
226237,Daemon Editora,NaN,NaN,NaN,NaN,NaN
192016,Invedars,NaN,NaN,NaN,NaN,NaN
228509,Perry Miniatures,NaN,NaN,NaN,NaN,NaN
72373,Japon Brand, Kawasaki Factory,NaN,NaN,NaN,NaN
243694,Capital Gains Studio,NaN,NaN,NaN,NaN,NaN
29415,TableStar Games,NaN,NaN,NaN,NaN,NaN
116948,Robert Burke Games,NaN,NaN,NaN,NaN,NaN
31887,HL Games,NaN,NaN,NaN,NaN,NaN
218943,Set Enterprises,NaN,NaN,NaN,NaN,NaN
11160,Ravensburger Spieleverlag GmbH,NaN,NaN,NaN,NaN,NaN
249047,Puzzling Pixel Games,NaN,NaN,NaN,NaN,NaN
89807,Against the Odds, LPS,NaN,NaN,NaN,NaN
35961,KOSMOS,NaN,NaN,NaN,NaN,NaN
182225,Jason Anarchy Games, Wiseman Innovation,NaN,NaN,NaN,NaN
10822,Decision Games (I),NaN,NaN,NaN,NaN,NaN
145274,Silent7Seven Games,NaN,NaN,NaN,NaN,NaN
6036,XTR Corp,NaN,NaN,NaN,NaN,NaN
931,Aladdin, Ravensburger Spieleverlag GmbH,NaN,NaN,NaN,NaN
155203,Ravensburger Spieleverlag GmbH,NaN,NaN,NaN,NaN,NaN
2092,White Wind,NaN,NaN,NaN,NaN,NaN
362,Otto Maier Verlag, Ravensburger Spieleverlag GmbH,NaN,NaN,NaN,NaN
2304,TM Spiele,NaN,NaN,NaN,NaN,NaN
2369,F.X. Schmid, Ravensburger Spieleverlag GmbH,NaN,NaN,NaN,NaN
6146,Hobby Japan,NaN,NaN,NaN,NaN,NaN
1079,Zoch Verlag,NaN,NaN,NaN,NaN,NaN
13742,i-Kore Ltd., Urban Mammoth,NaN,NaN,NaN,NaN
235252,Helvetiq, Mandoo Games,NaN,NaN,NaN,NaN
4427,Damm / Egmont, Editrice Giochi, Waddingtons Games,NaN,NaN,NaN
273065,The Happy Puzzle Company,NaN,NaN,NaN,NaN,NaN
130603,Ravensburger Spieleverlag GmbH,NaN,NaN,NaN,NaN,NaN
264157,WizKids,NaN,NaN,NaN,NaN,NaN
12319,Spears Games,NaN,NaN,NaN,NaN,NaN
4320,Metagaming,NaN,NaN,NaN,NaN,NaN
680,Clipper, Parker Brothers,NaN,NaN,NaN,NaN
144412,Level 99 Games,NaN,NaN,NaN,NaN,NaN
127093,HaPe International,NaN,NaN,NaN,NaN,NaN
6920,SPI (Simulations Publications,NaN,NaN,NaN,NaN,NaN
246534,Cryptozoic Entertainment,NaN,NaN,NaN,NaN,NaN
30879,Hungarotoys, Novoplast, Retro Games Ltd,NaN,NaN,NaN
201917,Bad Crow Games,NaN,NaN,NaN,NaN,NaN
183649,3DTotal Games,NaN,NaN,NaN,NaN,NaN
5723,EMS,NaN,NaN,NaN,NaN,NaN
154515,cutia.ro, dV Giochi, Ediciones MasQueOca, Pegasus Spiele,NaN,NaN
162038,Mystic Ape Games,NaN,NaN,NaN,NaN,NaN
17157,Winning Moves Games (USA),NaN,NaN,NaN,NaN,NaN
70597,Ludocortex,NaN,NaN,NaN,NaN,NaN
207335,Red Eyed Rabbit,NaN,NaN,NaN,NaN,NaN
238510,(Public Domain), Avid Press,NaN,NaN,NaN,NaN
257814,2D10,NaN,NaN,NaN,NaN,NaN
7354,Yaquinto,NaN,NaN,NaN,NaN,NaN
231331,Cogitate Games,NaN,NaN,NaN,NaN,NaN
11937,Game Designers Workshop,NaN,NaN,NaN,NaN,NaN
221643,Strawberry Studio,NaN,NaN,NaN,NaN,NaN
220930,Hollandspiele,NaN,NaN,NaN,NaN,NaN
165737,Homosapiens Lab,NaN,NaN,NaN,NaN,NaN
20610,Rapid Fire Publications, Stratagem Publications LTD,NaN,NaN,NaN,NaN
89898,Out of the Box Publishing,NaN,NaN,NaN,NaN,NaN
6995,The Game Crafter, Matt Worden Games,NaN,NaN,NaN,NaN
1082,Peri Spiele, Perner Produktions GmbH,NaN,NaN,NaN,NaN
113700,Cardboard Island Games,NaN,NaN,NaN,NaN,NaN
13919,SPI (Simulations Publications,NaN,NaN,NaN,NaN,NaN
127433,Mu00fccke Spiele,NaN,NaN,NaN,NaN,NaN
2205,Milton Bradley,NaN,NaN,NaN,NaN,NaN
933,ASS Altenburger Spielkarten,NaN,NaN,NaN,NaN,NaN
220674,Tailor Games,NaN,NaN,NaN,NaN,NaN
32429,Competo / Marektoy, Drei Magier Spiele, Falomir Juegos, Fundex, Nasza Ksiu0119garnia, Nordic Games GmbH
187032,Decision Games (I),NaN,NaN,NaN,NaN,NaN
20302,(Web published), Print & Play Productions, Sun * Games,NaN,NaN,NaN
68201,nestorgames,NaN,NaN,NaN,NaN,NaN
268183,Games Workshop Ltd.,NaN,NaN,NaN,NaN,NaN
24186,Ship of Fools Games,NaN,NaN,NaN,NaN,NaN
182276,WizKids,NaN,NaN,NaN,NaN,NaN
2757,Yaquinto,NaN,NaN,NaN,NaN,NaN
8902,Harenberg,NaN,NaN,NaN,NaN,NaN
136086,KOSMOS,NaN,NaN,NaN,NaN,NaN
3102,Blatz,NaN,NaN,NaN,NaN,NaN
260307,Tembo Games,NaN,NaN,NaN,NaN,NaN
1716,The Avalon Hill Game Co,NaN,NaN,NaN,NaN,NaN
36944,Hasbro,NaN,NaN,NaN,NaN,NaN
90375,KOSMOS,NaN,NaN,NaN,NaN,NaN
241761,Asmodee,NaN,NaN,NaN,NaN,NaN
254759,ZXG, Fractal Juegos,NaN,NaN,NaN,NaN
4317,Game Designers Workshop, Hobby Japan, Kokusai-Tsushin Co.,NaN,NaN,NaN
19351,Games Workshop Ltd., Sabertooth Games,NaN,NaN,NaN,NaN
142981,Decision Games (I),NaN,NaN,NaN,NaN,NaN
54073,Peaceable Kingdom,NaN,NaN,NaN,NaN,NaN
5055,One Small Step, Rand Game Associates,NaN,NaN,NaN,NaN
147251,2D6.EE,NaN,NaN,NaN,NaN,NaN
170583,Game Salute,NaN,NaN,NaN,NaN,NaN
38679,Victory Point Games,NaN,NaN,NaN,NaN,NaN
130685,Brain Games,NaN,NaN,NaN,NaN,NaN
245644,Queen Games,NaN,NaN,NaN,NaN,NaN
3979,(Self-Published), Edition Perlhuhn (Gu00f6ttinger Spiele), Fagus, KOSMOS, M. Hornauer Verlag, Das Spiel
252712,MEBO Games,NaN,NaN,NaN,NaN,NaN
63433,Colour of Strategy,NaN,NaN,NaN,NaN,NaN
167238,Galakta,NaN,NaN,NaN,NaN,NaN
203238,Pumpkin Games,NaN,NaN,NaN,NaN,NaN
445,Blatz,NaN,NaN,NaN,NaN,NaN
30020,SPI (Simulations Publications,NaN,NaN,NaN,NaN,NaN
5955,3W (World Wide Wargames),NaN,NaN,NaN,NaN,NaN
194966,(Self-Published),NaN,NaN,NaN,NaN,NaN
10038,XTR Corp,NaN,NaN,NaN,NaN,NaN
101668,Asmodee, Repos Production,NaN,NaN,NaN,NaN
284082,KOSMOS, Zvezda,NaN,NaN,NaN,NaN
192321,The Creativity Hub,NaN,NaN,NaN,NaN,NaN
192984,Black Box Adventures,NaN,NaN,NaN,NaN,NaN
2214,TSR,NaN,NaN,NaN,NaN,NaN
121043,R&R Games,NaN,NaN,NaN,NaN,NaN
103843,Mindtwister USA,NaN,NaN,NaN,NaN,NaN
287222,Smart Troll Games, Zacatrus, Brain Picnic,NaN,NaN,NaN
200632,QANGO Verlag,NaN,NaN,NaN,NaN,NaN
4010,Spearhead Games,NaN,NaN,NaN,NaN,NaN
179973,R&R Games,NaN,NaN,NaN,NaN,NaN
21437,brabander,NaN,NaN,NaN,NaN,NaN
2341,Ariel Productions Ltd,NaN,NaN,NaN,NaN,NaN
5778,The Avalon Hill Game Co,NaN,NaN,NaN,NaN,NaN
1987,Dynamic Games / Dynamic Design Industries,NaN,NaN,NaN,NaN,NaN
102698,NSB Games,NaN,NaN,NaN,NaN,NaN
6897,Decision Games (I),NaN,NaN,NaN,NaN,NaN
3485,Editrice Giochi,NaN,NaN,NaN,NaN,NaN
12160,APBA International,NaN,NaN,NaN,NaN,NaN
39324,Wiggles 3D,NaN,NaN,NaN,NaN,NaN
4593,Ragnar Brothers,NaN,NaN,NaN,NaN,NaN
248196,Brouhaha Games,NaN,NaN,NaN,NaN,NaN
176557,Japon Brand, Manifest Destiny,NaN,NaN,NaN,NaN
194088,Blue Orange (EU), Blue Orange Games, Broadway Toys LTD, Desyllas Games, FoxGames, Gu00e9m Klub Kft.
248421,IDW Games,NaN,NaN,NaN,NaN,NaN
125547,Level 99 Games,NaN,NaN,NaN,NaN,NaN
182960,Rebel,NaN,NaN,NaN,NaN,NaN
215389,FoxMind,NaN,NaN,NaN,NaN,NaN
28522,Poyeba Games,NaN,NaN,NaN,NaN,NaN
20543,Ravensburger Spieleverlag GmbH, Zvezda,NaN,NaN,NaN,NaN
208073,(Self-Published),NaN,NaN,NaN,NaN,NaN
191999,Looney Labs,NaN,NaN,NaN,NaN,NaN
202223,Games 4 Gamers,NaN,NaN,NaN,NaN,NaN
291,Clash of Arms Games, Dragon Radieux, Tilsit, Truant Spiele,NaN,NaN
76442,(Web published), Minion Games,NaN,NaN,NaN,NaN
155577,Asmodee, Asterion Press,NaN,NaN,NaN,NaN
239452,Game and a Curry,NaN,NaN,NaN,NaN,NaN
16875,Future Magic Games,NaN,NaN,NaN,NaN,NaN
906,Hexagames (I), Schmidt Spiele,NaN,NaN,NaN,NaN
55999,Vae Victis,NaN,NaN,NaN,NaN,NaN
229297,Green Couch Games,NaN,NaN,NaN,NaN,NaN
8990,I Am Factory, John Sands Pty Ltd, Otto Maier Verlag, Parker Brothers, Ravensburger Spieleverlag GmbH, Summit Games (I)
98780,(Self-Published), (Web published),NaN,NaN,NaN,NaN
169470,Manifest Destiny, Tasty Minstrel Games,NaN,NaN,NaN,NaN
4764,E.S. Lowe, MB Spellen, Milton Bradley,NaN,NaN,NaN
17352,Subbuteo Sports Games,NaN,NaN,NaN,NaN,NaN
176887,Minion Games,NaN,NaN,NaN,NaN,NaN
234274,(Self-Published), Flying Leap Games,NaN,NaN,NaN,NaN
166260,EOS Press,NaN,NaN,NaN,NaN,NaN
9794,Canada Games, Copp Clark Publishing Company,NaN,NaN,NaN,NaN
109786,(Self-Published), (Web published),NaN,NaN,NaN,NaN
191432,BlankMediaGames LLC,NaN,NaN,NaN,NaN,NaN
6088,International Team,NaN,NaN,NaN,NaN,NaN
174696,Drei Hasen in der Abendsonne, FoxGames,NaN,NaN,NaN,NaN
135107,Crash Games,NaN,NaN,NaN,NaN,NaN
1590,3M, The Avalon Hill Game Co,NaN,NaN,NaN,NaN
12520,Vae Victis,NaN,NaN,NaN,NaN,NaN
19554,SimplyFun,NaN,NaN,NaN,NaN,NaN
257924,Act in games, 2Tomatoes, Ludoismo, Mandoo Games, Popcorn Games,NaN
17557,Amo Oy, Arial, Bergsala Enigma, Dr. Wood Challenge Centre, Evrikus, Granna
14013,Cocktail Games, Interlude,NaN,NaN,NaN,NaN
138201,Air and Nothingness Press, LudiCreations,NaN,NaN,NaN,NaN
25045,Lumpley Games,NaN,NaN,NaN,NaN,NaN
26363,Wattsalpoag Games,NaN,NaN,NaN,NaN,NaN
783,Atlas Games,NaN,NaN,NaN,NaN,NaN
89478,Buffalo Games,NaN,NaN,NaN,NaN,NaN
221982,Arcadia Designs,NaN,NaN,NaN,NaN,NaN
11129,XTR Corp,NaN,NaN,NaN,NaN,NaN
9111,Decision Games (I),NaN,NaN,NaN,NaN,NaN
251405,Social Sloth Games,NaN,NaN,NaN,NaN,NaN
269145,Bankiiiz Editions,NaN,NaN,NaN,NaN,NaN
96266,(Self-Published), (Web published),NaN,NaN,NaN,NaN
4021,SPI (Simulations Publications,NaN,NaN,NaN,NaN,NaN
179912,Nocturnal Media,NaN,NaN,NaN,NaN,NaN
164022,Compass Games,NaN,NaN,NaN,NaN,NaN
236577,Hyperbole Games,NaN,NaN,NaN,NaN,NaN
54986,APE Games,NaN,NaN,NaN,NaN,NaN
10084,Estrela, MB Giochi, MB Jeux, Milton Bradley, Nilco S.A.,NaN
79312,Twilight Creations,NaN,NaN,NaN,NaN,NaN
219348,Hasbro,NaN,NaN,NaN,NaN,NaN
125608,Twilight Creations,NaN,NaN,NaN,NaN,NaN
24994,Avalanche Press Ltd.,NaN,NaN,NaN,NaN,NaN
222741,MANGROVE GAMES,NaN,NaN,NaN,NaN,NaN
129031,CMON Limited, Soda Pop Miniatures,NaN,NaN,NaN,NaN
229910,(Self-Published), Gangly Games,NaN,NaN,NaN,NaN
3036,The Space Gamer, Steve Jackson Games,NaN,NaN,NaN,NaN
186905,USAopoly,NaN,NaN,NaN,NaN,NaN
264326,WizKids,NaN,NaN,NaN,NaN,NaN
87876,(Web published), Game Salute, Orions Bell,NaN,NaN,NaN
10394,Game Designers Workshop,NaN,NaN,NaN,NaN,NaN
149459,Takoashi Games,NaN,NaN,NaN,NaN,NaN
6460,Third World Games,NaN,NaN,NaN,NaN,NaN
254427,Synapses Games, Asmodee Italia, Delta Vision Publishing,NaN,NaN,NaN
7562,TSR,NaN,NaN,NaN,NaN,NaN
161429,Alderac Entertainment Group, Victory Point Games,NaN,NaN,NaN,NaN
179581,(Self-Published),NaN,NaN,NaN,NaN,NaN
182101,Gen-X Games,NaN,NaN,NaN,NaN,NaN
69632,Jumbo,NaN,NaN,NaN,NaN,NaN
283259,Dachshund Games,NaN,NaN,NaN,NaN,NaN
166341,(Self-Published), Times Infinity LLC,NaN,NaN,NaN,NaN
257700,Steve Jackson Games, Edge Entertainment, Hobby World, Pegasus Spiele,NaN,NaN
6503,Game Designers Workshop,NaN,NaN,NaN,NaN,NaN
173240,ChagaChaga Games, Uzumaki Switch,NaN,NaN,NaN,NaN
200257,Rather Dashing Games,NaN,NaN,NaN,NaN,NaN
206437,Jason Anarchy Games, Wiseman Innovation,NaN,NaN,NaN,NaN
166532,Queen Games,NaN,NaN,NaN,NaN,NaN
17644,Decision Games (I), Overlord Games,NaN,NaN,NaN,NaN
69761,Petroglyph,NaN,NaN,NaN,NaN,NaN
32333,DDD Verlag GmbH,NaN,NaN,NaN,NaN,NaN
186089,Ace Studios,NaN,NaN,NaN,NaN,NaN
12672,Covenant Communications,NaN,NaN,NaN,NaN,NaN
192496,(Self-Published), Blue Wasatch Games,NaN,NaN,NaN,NaN
198836,Cranio Creations, Hasbro, Jolly Thinkers, Passport Game Studios, Rebel, Strawberry Studio
5881,Game Designers Workshop,NaN,NaN,NaN,NaN,NaN
103937,Van Ryder Games,NaN,NaN,NaN,NaN,NaN
18701,em4miniatures,NaN,NaN,NaN,NaN,NaN
11925,Copp Clark Publishing Company, Flamenco, YOY,NaN,NaN,NaN
10785,Moments in History,NaN,NaN,NaN,NaN,NaN
269418,PenTree Games,NaN,NaN,NaN,NaN,NaN
184460,Crazy Pawn Games, IDW Games, Pandasaurus Games, uplay.it edizioni,NaN,NaN
134884,Instytut Pamiu0119ci Narodowej (IPN),NaN,NaN,NaN,NaN,NaN
42188,Ravensburger Spieleverlag GmbH,NaN,NaN,NaN,NaN,NaN
198060,Planplay, Zhiyanjia,NaN,NaN,NaN,NaN
258783,Green Couch Games,NaN,NaN,NaN,NaN,NaN
31935,Hasbro, Parker Brothers, Winning Solutions,NaN,NaN,NaN
200836,Mu00fcller-Mu00e4tzig Spiele Verlag,NaN,NaN,NaN,NaN,NaN
104558,Id&aL Editions,NaN,NaN,NaN,NaN,NaN
185302,Xtronaut Enterprises,NaN,NaN,NaN,NaN,NaN
140600,Troubadour Games,NaN,NaN,NaN,NaN,NaN
79216,Winning Moves Germany,NaN,NaN,NaN,NaN,NaN
58707,Buffalo Games,NaN,NaN,NaN,NaN,NaN
236827,Black Monk, Intrafin Games, Red Glove,NaN,NaN,NaN
41305,HABA,NaN,NaN,NaN,NaN,NaN
3617,Task Force Games,NaN,NaN,NaN,NaN,NaN
182581,(Self-Published),NaN,NaN,NaN,NaN,NaN
650,Kenzer and Company,NaN,NaN,NaN,NaN,NaN
2733,BeWitched Spiele,NaN,NaN,NaN,NaN,NaN
130202,(Self-Published), Blue Panther,NaN,NaN,NaN,NaN
1816,Mattel,NaN,NaN,NaN,NaN,NaN
10264,Decision Games (I),NaN,NaN,NaN,NaN,NaN
230488,Gen-X Games, SD Games,NaN,NaN,NaN,NaN
3812,SPI (Simulations Publications,NaN,NaN,NaN,NaN,NaN
174491,Tantrum House,NaN,NaN,NaN,NaN,NaN
8804,Fully Baked Ideas, Looney Labs,NaN,NaN,NaN,NaN
2319,F.X. Schmid,NaN,NaN,NaN,NaN,NaN
11766,3W (World Wide Wargames),NaN,NaN,NaN,NaN,NaN
7723,SPI (Simulations Publications,NaN,NaN,NaN,NaN,NaN
231315,Galakta,NaN,NaN,NaN,NaN,NaN
159384,Alchemicus.pl,NaN,NaN,NaN,NaN,NaN
291563,Norsker Games,NaN,NaN,NaN,NaN,NaN
24024,Hasbro,NaN,NaN,NaN,NaN,NaN
8329,3W (World Wide Wargames),NaN,NaN,NaN,NaN,NaN
185769,The Game Crafter,NaN,NaN,NaN,NaN,NaN
227468,Lagniappe Games,NaN,NaN,NaN,NaN,NaN
1378,Jumbo,NaN,NaN,NaN,NaN,NaN
151448,Mystery Parfait,NaN,NaN,NaN,NaN,NaN
223286,(Self-Published), Last Ditch Games,NaN,NaN,NaN,NaN
56759,Cwali,NaN,NaN,NaN,NaN,NaN
257994,Gen-X Games,NaN,NaN,NaN,NaN,NaN
257316,Lodus Games,NaN,NaN,NaN,NaN,NaN
2284,Cheapass Games,NaN,NaN,NaN,NaN,NaN
152824,Devir,NaN,NaN,NaN,NaN,NaN
26582,Matter Group LLC,NaN,NaN,NaN,NaN,NaN
3064,CribbGolf, JK Games, MJ Moran Company,NaN,NaN,NaN
244939,Evil Hat Productions,NaN,NaN,NaN,NaN,NaN
30261,Z-Man Games,NaN,NaN,NaN,NaN,NaN
176634,Holocubierta Ediciones,NaN,NaN,NaN,NaN,NaN
121787,Moonster Games,NaN,NaN,NaN,NaN,NaN
199800,Meridiano 6,NaN,NaN,NaN,NaN,NaN
6771,Horizon Games,NaN,NaN,NaN,NaN,NaN
52827,Mindspan Labs,NaN,NaN,NaN,NaN,NaN
1346,Spiele aus Timbuktu,NaN,NaN,NaN,NaN,NaN
1268,ASS Altenburger Spielkarten, Games Research, Spielclub,NaN,NaN,NaN
206938,Drei Magier Spiele, Gigamic, Swan Panasia Co.,NaN,NaN,NaN
23521,Blue Orange Games,NaN,NaN,NaN,NaN,NaN
1364,Evidence Interactive,NaN,NaN,NaN,NaN,NaN
37732,Quined White Goblin Games,NaN,NaN,NaN,NaN,NaN
103016,Igramoon Spieleverlag,NaN,NaN,NaN,NaN,NaN
153830,Asmodee, Marbles: The Brain Store,NaN,NaN,NaN,NaN
196342,Broadway Toys LTD, IELLO, OKAZU Brand,NaN,NaN,NaN
1952,Hexagames (I),NaN,NaN,NaN,NaN,NaN
4172,SPI (Simulations Publications,NaN,NaN,NaN,NaN,NaN
10065,Milton Bradley,NaN,NaN,NaN,NaN,NaN
5226,Vae Victis,NaN,NaN,NaN,NaN,NaN
955,Cybergecko,NaN,NaN,NaN,NaN,NaN
1869,Alga, Drechsler, Morton Productions Ltd, Otto Maier Verlag, Ravensburger Spieleverlag GmbH,NaN
13979,Against the Odds, LPS,NaN,NaN,NaN,NaN
8911,Decision Games (I),NaN,NaN,NaN,NaN,NaN
175735,Rocca Spiele,NaN,NaN,NaN,NaN,NaN
173121,Pronto Play Games,NaN,NaN,NaN,NaN,NaN
239621,Lay Waste Games,NaN,NaN,NaN,NaN,NaN
235760,itten,NaN,NaN,NaN,NaN,NaN
2720,Yaquinto,NaN,NaN,NaN,NaN,NaN
2606,(Unknown), Gibsons, H. P. Gibson & Sons, Holdsworth Thos & Sons, Moldex,NaN
18870,Alortujou, Alsip and Co., Channel Craft, In2 Games, Pin International,NaN
205156,Deinko Games,NaN,NaN,NaN,NaN,NaN
1045,Piatnik,NaN,NaN,NaN,NaN,NaN
149332,USAopoly, Winning Moves Germany,NaN,NaN,NaN,NaN
84230,Kuu017ania Gier,NaN,NaN,NaN,NaN,NaN
6509,Cardium Games Ltd., International Oilman, Northern Games Co. Ltd.,NaN,NaN,NaN
38637,Winsome Games,NaN,NaN,NaN,NaN,NaN
244725,Jellybean Games,NaN,NaN,NaN,NaN,NaN
193854,Poppy Jasper Games,NaN,NaN,NaN,NaN,NaN
21634,AMIGO,NaN,NaN,NaN,NaN,NaN
160550,Red Glove,NaN,NaN,NaN,NaN,NaN
10716,(Public Domain), Ferti,NaN,NaN,NaN,NaN
11466,Ravensburger Spieleverlag GmbH,NaN,NaN,NaN,NaN,NaN
127572,Hasbro,NaN,NaN,NaN,NaN,NaN
25313,Blue Zebra, Crown & Andrews Ltd., Fun Connection, Nelospelit,NaN,NaN
1985,Decipher, Holdson, Playtoy Industries, Pressman Toy Corp.,NaN,NaN
12455,XTR Corp,NaN,NaN,NaN,NaN,NaN
24927,Hasbro, Mattel, Parker Brothers,NaN,NaN,NaN
6478,Alna, Patch Products,NaN,NaN,NaN,NaN
147931,Galakta, Heidelberger Spieleverlag,NaN,NaN,NaN,NaN
13316,Alzo Zero, Italeri,NaN,NaN,NaN,NaN
69233,HABA,NaN,NaN,NaN,NaN,NaN
8571,GMT Games,NaN,NaN,NaN,NaN,NaN
238329,Big Potato, Randolph,NaN,NaN,NaN,NaN
8326,Decision Games (I), SPI (Simulations Publications,NaN,NaN,NaN,NaN
153723,Killer Robot Games,NaN,NaN,NaN,NaN,NaN
87288,franjos Spieleverlag,NaN,NaN,NaN,NaN,NaN
3560,Metagaming, Sfera,NaN,NaN,NaN,NaN
8122,(Public Domain), anekona hawaii, Geoludie, House of Marbles, Krealudik, Kumu-Lipo
20954,Walter Mu00fcllers Spielewerkstatt,NaN,NaN,NaN,NaN,NaN
198044,The Mountain Men,NaN,NaN,NaN,NaN,NaN
8101,Game Designers Workshop,NaN,NaN,NaN,NaN,NaN
104239,Bezzerwizzer ApS, Mattel,NaN,NaN,NaN,NaN
39787,(Self-Published), (Web published),NaN,NaN,NaN,NaN
1029,Moskito Spiele,NaN,NaN,NaN,NaN,NaN
8693,SPI (Simulations Publications,NaN,NaN,NaN,NaN,NaN
168077,Panini Games,NaN,NaN,NaN,NaN,NaN
129322,Wizards of the Coast,NaN,NaN,NaN,NaN,NaN
43693,(Web published),NaN,NaN,NaN,NaN,NaN
270269,IELLO, Mancalamaro, Tcg Factory,NaN,NaN,NaN
183459,Triple Ace Games,NaN,NaN,NaN,NaN,NaN
36751,WizKids,NaN,NaN,NaN,NaN,NaN
67037,Drei Magier Spiele, G3,NaN,NaN,NaN,NaN
164778,Catalyst Game Labs,NaN,NaN,NaN,NaN,NaN
191049,KOSMOS,NaN,NaN,NaN,NaN,NaN
181390,Noris Spiele,NaN,NaN,NaN,NaN,NaN
172465,Fabrika Igr, Ice-Pick Lodge,NaN,NaN,NaN,NaN
39802,Sunrise Tornado Game Studio, Z-Man Games,NaN,NaN,NaN,NaN
235071,Yanaguana Games,NaN,NaN,NaN,NaN,NaN
170423,Le Droit de Perdre,NaN,NaN,NaN,NaN,NaN
86882,Chaos Publishing,NaN,NaN,NaN,NaN,NaN
