objectid,publisher,publisher,publisher,publisher,publisher,publisher
233398,Burnt Island Games, Grand Gamers Guild, 17wanzy (Yihu BG), Board Game Circus, Cranio Creations, CrowD Games
123260,Bu00e9zier Games, Arclight, Cosmodrome Games, CrowD Games, Lookout Games, Panda Game Manufacturing (PandaGM)
77423,Fantasy Flight Games, ADC Blackfire Entertainment, Edge Entertainment, Galakta, Galu00e1pagos Jogos, Game Harbor
194655,Roxley, Galu00e1pagos Jogos, Korea Boardgames co., Spin Master Ltd.,NaN,NaN
54043,GameWorks Su00e0RL, Space Cowboys, Asmodee, cutia.ro, Esdevium, Gu00e9m Klub Kft.
43015,Argentum Verlag, 999 Games, Egmont Polska, Z-Man Games,NaN,NaN
126042,Lautapelit.fi, Asmodee, Asterion Press, Rebel, Ystari Games,NaN
4098,Warfrog Games, Arclight, CZ Cloud Soft Co. Ltd, Eagle-Gryphon Games, Korea Boardgames co., Pegasus Spiele
175640,Eagle-Gryphon Games,NaN,NaN,NaN,NaN,NaN
10630,Days of Wonder, ADC Blackfire Entertainment, Edge Entertainment,NaN,NaN,NaN
91,GMT Games, Devir, Udo Grebe Gamedesign, Wargames Club Publishing, Wydawnictwo Gou0142u0119biewski,NaN
233867,Blue Cocker Games, Broadway Toys LTD, Deep Water Games, Dude Games, Engames, Fever Games
224037,Czech Games Edition, Asmodee, Cranio Creations, Devir, DiceTree Games, Fantasmagoria
39463,Fantasy Flight Games, Arclight, Asterion Press, Edge Entertainment, Galakta, Heidelberger Spieleverlag
171131,Matagot, Asmodee, Broadway Toys LTD, Bureau De Juegos, Conclave Editora, CrowD Games
155068,CMON Limited, Spaghetti Western Games, Asmodee, Asterion Press, BoardM Factory, Edge Entertainment
21050,GMT Games, Devir,NaN,NaN,NaN,NaN
195421,Red Raven Games, Devir, dV Giochi, Lavka Games, Lucky Duck Games, Schwerkraft-Verlag
163068,Mindclash Games, Angry Lion Games, APE Games, Corax Games, Maldito Games,NaN
104006,eggertspiele, 999 Games, Albi, Delta Vision Publishing, Fantasmagoria, Fire on Board Jogos
118048,KOSMOS, 999 Games, Devir, Filosofia u00c9ditions, Galakta, Giochi Uniti
269385,Fantasy Flight Games, ADC Blackfire Entertainment, Asmodee, Delta Vision Publishing, Galu00e1pagos Jogos, Hobby World
188920,Awaken Realms, Albi, Ares Games, Asmodee, CrowD Games, Edge Entertainment
31627,Days of Wonder, Edge Entertainment, Galu00e1pagos Jogos, Hobby Japan, Hobby World, Lautapelit.fi
199561,Floodgate Games, Cranio Creations, CrowD Games, Devir, Engames, FoxGames
82222,Far Off Games, Lavka Games, Maldito Games,NaN,NaN,NaN
25021,GMT Games,NaN,NaN,NaN,NaN,NaN
244522,Schmidt Spiele, 999 Games, Arclight, Compaya.hu - Gamer Cafu00e9 Kft., Devir, G3
148228,Space Cowboys, Asmodee, Asterion Press, Baborka Games, Board Game VN, Boardgame Space
9216,Hans im Glu00fcck, 999 Games, Asterion Press, Filosofia u00c9ditions, HomoLudicus, Lacerta
215,Fata Morgana Spiele, 999 Games, ABACUSSPIELE, Filosofia u00c9ditions, G3, Hobby World
223321,Portal Games, GaGa Games, IELLO, Korea Boardgames co., Maldito Games, Pegasus Spiele
129437,Upper Deck Entertainment,NaN,NaN,NaN,NaN,NaN
146886,Spielworxx, 999 Games, Across the Board, Arclight, CrowD Games, Do it games
