,objectid,name,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime,usersrated,average,baverage,avgweight,siteviews,boardgamehonor_cnt,boardgameversion_cnt,boardgamecategory,boardgamemechanic
17004,8374.0,Monopoly  Deluxe Anniversary Edition,1985.0,2.0,10,2.0,2.0,170.0,5.48941,5.47426,1.25,24047.0,0.0,1.0,"Economic, Negotiation","Auction, Bidding, Player Elimination, Roll ,  Spin and Move, Set Collection, Trading"
17005,35482.0,Mini Cat & Mouse,2008.0,2.0,4,0.25,0.25,32.0,4.42188,5.47418,1.0,5268.0,0.0,2.0,"Animals, Childrens Game","Roll ,  Spin and Move"
17006,173075.0,Disturbed Friends,2015.0,4.0,10,0.16666666666666666,1.5,208.0,5.40745,5.47414,1.0,46054.0,0.0,1.0,"Card, Adult, Party Game","Card Game, Mature ,  Adult, Party Game"
17007,1514.0,Yali,1996.0,2.0,2,0.3333333333333333,0.3333333333333333,168.0,5.2923,5.47408,1.8182,25029.0,0.0,5.0,"Abstract Strategy, Action , Dexterity",Point to Point Movement
17008,26093.0,Koala,2006.0,3.0,10,0.5,0.5,60.0,4.98667,5.47404,1.8571,11867.0,0.0,1.0,Card,"Hand Management, Set Collection"
17009,32849.0,Dr. Seuss  The Cat in the Hat \u2013 I Can Do That! Game,2007.0,2.0,4,0.3333333333333333,0.3333333333333333,85.0,5.108,5.47404,1.0,10740.0,0.0,1.0,"Action , Dexterity, Card, Childrens Game, Novel-based","Action ,  Dexterity, Card Game, Childrens Game, Novel-based"
17010,192409.0,Clown Standoff,2016.0,2.0,6,0.16666666666666666,0.16666666666666666,56.0,4.95,5.47403,1.0,8302.0,0.0,1.0,Card,"Player Elimination, Push Your Luck, Trick-taking"
17011,8204.0,Star Wars  Death Star Assault Game,1995.0,2.0,4,0.16666666666666666,0.16666666666666666,61.0,4.81459,5.474,1.25,27285.0,0.0,3.0,"Action , Dexterity, Adaptation, Sci-Fi","Action ,  Dexterity, Movies ,  TV ,  Radio theme, Science Fiction"
17012,8454.0,Rise of the House of Sa'ud,1985.0,1.0,2,2.0,2.0,39.0,4.72051,5.47399,2.5714,8505.0,0.0,1.0,War,"Dice Rolling, Hexagon Grid"
17013,13714.0,Qubic,1947.0,2.0,6,0.25,0.25,187.0,5.27406,5.47399,1.5556,47579.0,0.0,35.0,Abstract Strategy,"Paper-and-Pencil, Pattern Building"
17014,6152.0,Stop it!,2003.0,2.0,6,0.16666666666666666,0.16666666666666666,31.0,4.39677,5.47399,1.25,14716.0,0.0,1.0,"Action , Dexterity, Card","Action ,  Dexterity, Card Game"
17015,2823.0,Finish Lines,1997.0,2.0,6,0.5,0.5,81.0,5.06235,5.47399,1.5,16133.0,1.0,2.0,"Party Game, Trivia",Cooperative Game
17016,204069.0,Cranium Dark,2016.0,3.0,0,0.0,0.0,75.0,4.95733,5.47396,1.0,23346.0,0.0,1.0,"Humor, Adult, Party Game, Puzzle","Acting, Line Drawing, Singing"
17017,194960.0,Brain Games,2015.0,3.0,6,0.0,0.0,86.0,5.02099,5.47391,1.6667,21823.0,0.0,1.0,"Educational, Puzzle","Roll ,  Spin and Move"
17018,30009.0,Solo Dungeon Bash,2007.0,1.0,1,0.3333333333333333,0.3333333333333333,55.0,4.81091,5.47388,1.125,34171.0,0.0,1.0,"Adventure, Dice, Exploration, Fantasy, Fighting, Maze","Dice Rolling, Paper-and-Pencil, Variable Player Powers"
17019,258855.0,Stupid Deaths,2018.0,2.0,6,0.0,0.0,56.0,5.13971,5.47381,1.0,14167.0,0.0,2.0,"Humor, Party Game, Trivia","Player Elimination, Voting"
17020,2656.0,Inferno,1996.0,2.0,5,2.0,2.0,70.0,5.05143,5.47374,2.7778,23217.0,0.0,3.0,"Fighting, Horror, Miniatures, War","Fighting, Horror, Miniatures, Wargame"
17021,4922.0,Clever Endeavor,1989.0,2.0,8,0.75,0.75,200.0,5.23895,5.47368,1.9375,30998.0,0.0,4.0,"Party Game, Trivia","Roll ,  Spin and Move"
17022,17323.0,Kitty Chaos,2005.0,2.0,4,0.5,0.5,45.0,4.66667,5.47363,1.1429,13704.0,0.0,2.0,"Childrens Game, Racing","Childrens Game, Racing"
17023,125059.0,Cowtown,2012.0,3.0,6,0.5,0.5,49.0,4.93878,5.47361,1.0,8360.0,0.0,1.0,"Animals, Card",Hand Management
17024,14379.0,Harry Potter and the Sorcerer's Stone   Mystery at Hogwarts Game,2000.0,2.0,6,0.5,0.5,436.0,5.5117,5.47357,1.5517,90019.0,0.0,7.0,"Childrens Game, Deduction, Fantasy, Adaptation, Novel-based","Dice Rolling, Roll ,  Spin and Move"
17025,13854.0,Misfits,1964.0,3.0,6,0.3333333333333333,0.3333333333333333,30.0,4.19333,5.47355,1.0,28728.0,0.0,5.0,"Card, Childrens Game, Humor",Set Collection
17026,159084.0,Black Market Warehouse,2014.0,2.0,4,0.5,0.5,93.0,5.27677,5.47355,1.125,9977.0,0.0,3.0,"Card, Mafia",Set Collection
17027,13982.0,Sorry!  Pok\u00e9mon,2000.0,2.0,4,0.0,0.0,67.0,5.23134,5.47355,1.0,23555.0,0.0,3.0,"Fantasy, Adaptation, Adaptation","Roll ,  Spin and Move, Take That"
17028,228503.0,Mad Science Expo,2017.0,2.0,6,0.0,0.0,31.0,4.28065,5.47354,1.0,4376.0,0.0,1.0,Card,Card Game
17029,20203.0,Breakout,1994.0,2.0,2,0.3333333333333333,0.3333333333333333,41.0,4.63171,5.47353,1.0,9495.0,0.0,4.0,Abstract Strategy,Pattern Recognition
17030,34377.0,King Toad,2008.0,2.0,6,0.25,0.25,51.0,4.74902,5.47352,1.0,9018.0,1.0,1.0,"Animals, Card, Childrens Game, Educational, Fantasy, Humor","Animals, Card Game, Childrens Game, Educational, Fantasy, Humor"
17031,3347.0,Solo,1993.0,2.0,10,0.5,0.5,552.0,5.44922,5.47349,1.0227,43663.0,0.0,12.0,Card,Card Game
17032,29142.0,I Spy Eagle Eye,2006.0,1.0,4,0.3333333333333333,0.3333333333333333,67.0,4.8097,5.47348,1.0,18049.0,0.0,1.0,"Memory, Racing","Memory, Pattern Recognition"
17033,27800.0,The Market of Alturien,2007.0,2.0,6,1.0,1.0,371.0,5.38625,5.47345,1.875,64473.0,0.0,3.0,"Economic, Medieval","Area Majority ,  Influence, Area Movement, Investment, Market, Ownership"
17034,21331.0,Quip It!,2005.0,3.0,8,1.0,1.0,66.0,4.9803,5.47343,1.3333,17140.0,0.0,1.0,"Bluffing, Deduction, Electronic, Humor, Party Game","Storytelling, Voting"
17035,14132.0,Project Pornstar,2004.0,2.0,5,0.75,0.75,133.0,5.3797,5.47339,1.3684,75606.0,0.0,1.0,"Card, Humor, Adult","Hand Management, Set Collection, Take That"
17036,42920.0,UNO Moo!,2008.0,2.0,4,0.25,0.25,144.0,5.27509,5.47338,1.0,12524.0,0.0,2.0,"Animals, Card, Childrens Game, Farming",Hand Management
17037,2783.0,Thieves in the Wood,1976.0,2.0,6,0.75,0.75,36.0,4.55278,5.47337,1.0,8569.0,0.0,7.0,Childrens Game,"Roll ,  Spin and Move"
17038,32993.0,Mustang,2007.0,2.0,5,0.25,0.25,64.0,5.02812,5.47336,1.3,10557.0,0.0,1.0,"American West, Animals, Card","Hand Management, Set Collection"
17039,9607.0,Enigma,1988.0,2.0,6,1.0,1.0,44.0,4.69545,5.47335,1.0,14186.0,0.0,2.0,Party Game,"Dice Rolling, Point to Point Movement, Roll ,  Spin and Move"
17040,3686.0,Yu-Gi-Oh Millennium Game,2002.0,2.0,4,0.5,0.5,43.0,4.62209,5.4733,1.5,30159.0,0.0,2.0,"Adventure, Childrens Game, Fighting, Adaptation","Rock-Paper-Scissors, Variable Player Powers"
17041,8943.0,Superfection,1975.0,2.0,6,0.5,0.5,60.0,4.96917,5.47329,1.5,26586.0,0.0,4.0,"Action , Dexterity",Hand Management
17042,38950.0,Halma,1884.0,2.0,4,0.5,0.5,194.0,5.34102,5.47326,1.8235,40597.0,0.0,58.0,Abstract Strategy,Grid Movement
17043,32601.0,Rubik's Revolution,2006.0,1.0,6,0.25,0.25,36.0,4.52056,5.47325,1.7143,6254.0,1.0,1.0,"Action , Dexterity, Electronic, Memory",Memory
17044,24116.0,The Game of Life  Pirates of the Caribbean \u2013 Dead Man's Chest,2006.0,2.0,6,0.75,0.75,164.0,5.3439,5.47321,1.5,25532.0,0.0,1.0,"Adaptation, War, Pirates","Roll ,  Spin and Move"
17045,5663.0,WFF 'N PROOF,1962.0,2.0,4,0.75,0.75,60.0,4.875,5.4732,3.8889,38991.0,0.0,5.0,"Abstract Strategy, Memory","Dice Rolling, Memory"
