sort_index,object_id,game_name,year_published,min_players,max_players,min_playtime,max_playtime,average,complexity,siteviews,category_1,category_2,category_3,category_4,category_5,category_6,mech_1,mech_2,mech_3,mech_4,mech_5,mech_6,users_rated
7285,704,Montgolfi\u00e8re,1992,2,6,45,45,5.82959,1.2206,37195,Aviation, Racing,na,na,na,na,Auction/Bidding, Hand Management, Simultaneous Action Selection,na,na,na,571
7286,68931,Flee The Scene,2015,2,5,20,40,6.6976,1.2857,14504,Trains, Transportation, Travel,na,na,na,Pick-up and Deliver,na,na,na,na,na,104
7287,260785,Unstable Unicorns  Control,2019,2,8,30,45,7.37022,1.5,5815,card, Humor, Party Game,na,na,na,Hand Management, Set Collection, Take That,na,na,na,89
7288,265785,Rune,2019,2,2,10,15,6.97145,1.4286,8724,card, Puzzle,na,na,na,na,Area Majority / Influence, Tile Placement,na,na,na,na,108
7289,59960,Dakota Platinum Collection,2010,3,5,90,90,5.91914,2.6087,88402,American West,na,na,na,na,na,Area Majority / Influence, Worker Placement,na,na,na,na,384
7290,82948,Konexi,2010,2,4,30,30,6.24264,1.25,14697,Dexterity, Word Game,na,na,na,na,Dice Rolling,na,na,na,na,na,193
7291,160234,1750  Britain vs. France,2017,2,2,60,60,6.99238,2.1667,41996,Age of Reason, War,na,na,na,na,Area Movement, Dice Rolling, Modular Board,na,na,na,105
7292,17450,Argo,2016,2,4,45,90,6.19978,2.75,50573,Sci_Fi,na,na,na,na,na,Action Points, Action Queue, Area Movement, Modular Board, Tile Placement,na,229
7293,137140,Wunderland,2013,2,4,40,60,6.14097,1.5556,37172,Travel,na,na,na,na,na,Travel,na,na,na,na,na,212
7294,233354,Chocolatiers,2019,2,5,20,20,6.66914,1.4,13616,Daily Magic Games, Schwerkraft-Verlag,na,na,na,na,Hand Management, Pattern Building, Set Collection, Tile Placement,na,na,111
7295,166858,Villainous Vikings (Second Edition),2014,3,5,60,60,6.81362,2.5,28845,Fighting, Medieval, Mythology,na,na,na,Action Points, Card Drafting, Dice Rolling, Set Collection, Variable Player Powers,na,94
7296,4668,Lost Treasure,1982,2,4,45,45,6.22599,1.4737,40499,Electronic, Exploration, War,na,na,na,Pick-up and Deliver, Roll / Spin and Move,na,na,na,na,197
7297,7255,Soldiers  Man-to-Man Combat in World War II,1987,2,2,90,90,6.82653,2.8889,45325,War, War,na,na,na,na,Action Points, Hexagon Grid,na,na,na,na,98
7298,226592,Blackwood,2017,2,4,45,60,6.68537,2.6,20409,card, Fantasy, Medieval,na,na,na,Card Drafting, Set Collection,na,na,na,na,123
7299,125854,Mars Needs Mechanics,2013,2,4,45,45,5.90375,1.9375,81915,Economic, Sci_Fi,na,na,na,na,Commodity Speculation, Set Collection,na,na,na,na,347
7300,1579,Wrasslin',1990,2,16,45,45,5.92799,1.525,57499,card, Fighting,na,na,na,na,Hand Management, Simulation, Variable Player Powers,na,na,na,369
7301,229742,Zoo Ball,2017,2,4,15,30,6.40456,1,17102,Dexterity, Animals, Sports,na,na,na,Action / Dexterity, Animals, Sports,na,na,na,147
7302,5082,Rush Hour,1981,2,6,60,60,6.21954,1.5,42282,Maze, Transportation,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,194
7303,223327,Someone Has Died,2016,3,6,25,45,7.18639,1,9712,card, Humor, Party Game, Print & Play,na,na,Role Playing, Storytelling,na,na,na,na,83
7304,255658,Talisman  Legendary Tales,2018,1,6,20,40,6.35511,1.1111,48490,Adventure, Fantasy,na,na,na,na,Cooperative Game, Deck, Variable Player Powers,na,na,na,176
7305,19918,No Stress Chess,2004,2,2,60,60,6.35942,2.25,26046,strategy,na,na,na,na,na,Grid Movement,na,na,na,na,na,154
7306,98529,Disney Pixar Cars 2 Sorry Sliders  World Grand Prix Race Edition,2011,2,4,15,15,6.07022,1.0909,29910,Dexterity, Childrens Game, Adaptation, Racing,na,na,Action / Dexterity, Childrens Game, Movies / TV / Radio theme, Racing,na,na,231
7307,159566,Unicorn Glitterluck  Cloud Crystals,2014,2,4,10,10,5.95597,1.0667,20041,Childrens Game,na,na,na,na,na,Dice Rolling, Roll / Spin and Move,na,na,na,na,368
7308,42057,Utopian Rummy,2009,2,2,30,30,6.71333,1.5294,34480,card, Civilization, Print & Play,na,na,na,Hand Management, Set Collection,na,na,na,na,105
7309,223096,Raid on Taihoku,2017,2,4,40,60,6.74652,2.4,27471,Mizo Games,na,na,na,na,na,Action Points, Area Movement, Cooperative Game, Role Playing, Variable Player Powers,na,115
7310,271460,Uno Flip!,2019,2,10,30,30,6.76096,1,20467,card, Number,na,na,na,na,Hand Management, Take That,na,na,na,na,137
7311,12414,La Batalla de los Arapiles,1995,2,4,10,10,7.76897,3.75,18023,War, War,na,na,na,na,Campaign / Battle Card Driven, Dice Rolling, Hexagon Grid, Paper-and-Pencil, Secret Unit Deployment, Variable Phase Order,58
7312,5697,Reiner Knizia's Amazing Flea Circus,2003,2,6,10,10,5.80726,1.0625,36359,Animals, card, Childrens Game, Humor,na,na,Hand Management,na,na,na,na,na,572
7313,110643,Le Retour de l'Empereur,2011,2,8,10,10,7.91071,3.3333,34590,War, War,na,na,na,na,Hexagon Grid,na,na,na,na,na,56
7314,214910,Tiki,2018,2,2,10,20,6.37509,2,16287,strategy,na,na,na,na,na,Action Queue, Modular Board,na,na,na,na,167
7315,238182,Good Dog,2018,2,4,60,90,7.52327,2,9113,Animals, Horror, Humor, Zombies,na,na,Area Movement, Cooperative Game, Hand Management,na,na,na,81
7316,16144,Fruit Spy,2005,3,5,15,20,5.82,1.2676,52542,Animals, Bluffing, card, Pirates, Sci_Fi, Space Exploration,Area Majority / Influence, Hand Management,na,na,na,na,549
7317,85567,Passing Shot,2010,2,2,30,30,6.88168,1.2,19404,Dice, Sports,na,na,na,na,Dice Rolling, Simulation,na,na,na,na,119
7318,33018,Deathride  Mars-la-Tour 1870,2008,2,2,180,180,7.08667,2.4762,29883,Post-War, War,na,na,na,na,Area-Impulse, Hexagon Grid,na,na,na,na,81
7319,140865,Agent Hunter,2013,2,2,15,15,5.7603,1.1,58125,Bluffing, card, Deduction, Memory, secret_agent,na,Memory, Secret Unit Deployment,na,na,na,na,806
7320,249868,What A Tanker!,2018,1,12,45,180,8.24701,2.2,14197,Book, Miniatures, War, War,na,na,Action Points, Dice Rolling,na,na,na,na,58
7321,7771,En Garde!,1975,2,20,90,90,6.72844,2.2308,21610,Adventure, Fighting, Negotiation, Renaissance,na,na,Paper-and-Pencil, Role Playing, Simultaneous Action Selection, Storytelling,na,na,109
7322,155315,New York 1776,2014,2,2,120,120,7.02089,2.3,37111,American Revolutionary War, War,na,na,na,na,Area Movement, Dice Rolling, Secret Unit Deployment,na,na,na,79
7323,124044,Tooth & Nail  Factions,2012,2,4,15,30,6.23256,2.2353,42677,card, Fantasy, Sci_Fi,na,na,na,Action Points, Card Drafting, Hand Management, Variable Player Powers,na,na,172
7324,169658,The Guardians  Explore,2016,2,5,45,90,7.17115,3.2,26836,card, Fantasy,na,na,na,na,Area Majority / Influence, Card Drafting, Deck, Worker Placement,na,na,130
7325,7240,Vanished Planet,2003,1,6,60,60,5.86314,2.5536,94839,Economic, Sci_Fi, Space Exploration,na,na,na,Contracts, Cooperative Game, Events, Income, Movement Points, Moving Multiple Units,475
7326,72460,Into the Bastards!  First tank battle,2011,2,2,180,240,7.34155,2.4118,20426,War, War,na,na,na,na,Wargame, World War I,na,na,na,na,71
7327,20821,Tara,2006,2,4,45,45,6.27322,2.5385,34156,strategy,na,na,na,na,na,Hand Management,na,na,na,na,na,171
7328,16435,General Quarters,1975,0,2,90,240,7.23333,2.3,20491,Miniatures, War, War, War, War,na,Paper-and-Pencil,na,na,na,na,na,75
7329,3531,The Return of the Stainless Steel Rat,1981,1,2,60,60,6.59016,2.3333,38988,murder_mystery, Adaptation, Sci_Fi,na,na,na,Area Movement, Storytelling,na,na,na,na,122
7330,217261,Bohnanza  20 Jahre,2017,3,5,45,45,7.41891,1.5,7886,card, Farming, Negotiation,na,na,na,Hand Management, Set Collection, Trading,na,na,na,64
7331,130242,Spice Merchant,2012,3,4,15,15,6.3987,1.2,13077,card, Economic,na,na,na,na,Betting and Bluffing, Commodity Speculation, Hand Management, Secret Unit Deployment,na,na,146
7332,264991,Par Odin,2018,1,2,10,30,7.10235,2.25,2873,Deduction, Mythology,na,na,na,na,Dice Rolling,na,na,na,na,na,78
7333,6916,1941,1981,2,2,120,120,6.65819,2.1667,25399,War, War,na,na,na,na,Hexagon Grid,na,na,na,na,na,116
7334,154,Union vs. Central,1999,2,2,360,360,6.81895,3.75,30225,American West, card, Economic, Trains, Transportation,na,Hand Management, Pick-up and Deliver,na,na,na,na,95
7335,17995,Anno Domini  Sport,2000,2,8,30,30,6.7085,1.4,5659,Bluffing, card, Educational, Humor, Party Game,na,Card Drafting,na,na,na,na,na,100
7336,129492,Bee Alert,2012,2,5,15,15,6.4391,1.125,13651,Animals, Childrens Game, Memory,na,na,na,Memory,na,na,na,na,na,133
7337,20731,Capes & Cowls  The Superhero Board Game,2006,2,4,60,60,7.65923,3,81989,Adventure, Adaptation, Fighting,na,na,na,Card Drafting, Modular Board, Role Playing, Variable Player Powers,na,na,65
7338,35910,Cannonball Colony,2008,2,4,60,60,6.99634,2.4444,23259,Territory Building,na,na,na,na,na,Modular Board, Tile Placement,na,na,na,na,82
7339,15069,Ekonos,2004,2,6,60,60,6.71111,2.4706,18562,Economic,na,na,na,na,na,Stock Holding,na,na,na,na,na,117
7340,257284,Timeline  Classic,2018,2,6,15,15,6.7942,0,7208,card, Educational, Trivia,na,na,na,Card Game, Educational, Trivia,na,na,na,94
7341,135270,Shibumi,2011,1,8,15,15,7.655,2.8333,9826,strategy, Game System, Puzzle,na,na,na,Betting and Bluffing, Enclosure, Hand Management, Network and Route Building, Pattern Building, Pattern Recognition,60
7342,206591,Green Box of Games,2016,1,10,10,120,7.75047,2,17528,card, Game System,na,na,na,na,Card Game, Game System,na,na,na,na,59
7343,13503,Dicke D\u00e4monen,2004,1,4,20,20,6.56838,2.0769,21154,strategy, Fantasy,na,na,na,na,Betting and Bluffing, Enclosure, Modular Board,na,na,na,117
7344,6860,River of Death  Battle of Chickamauga,1999,2,2,360,360,7.31818,3.5,38974,American War, War,na,na,na,na,Chit-Pull System, Hexagon Grid,na,na,na,na,66
7345,196392,Turin Market,2016,2,5,10,30,6.23559,1.1667,15934,strategy, Bluffing, Economic, Math, Negotiation, Number,Auction/Bidding, Betting and Bluffing, Card Drafting, Commodity Speculation, Hand Management, Push Your Luck,170
7346,4915,Great War at Sea 2  The North & Baltic Seas,1998,2,4,180,180,6.79908,2.8824,26183,War, War, War,na,na,na,Dice Rolling, Hexagon Grid,na,na,na,na,109
7347,3771,Palabra,1990,2,6,30,30,6.29632,2,24642,card, Word Game,na,na,na,na,Set Collection,na,na,na,na,na,177
7348,4323,VOC! Founding the Dutch East Indies Company,2002,3,5,90,90,6.03736,2.5769,57692,War, Negotiation,na,na,na,na,Line Drawing, Pick-up and Deliver,na,na,na,na,265
7349,18481,Racetrack,0,2,8,15,15,6.34837,1.4516,43168,strategy, Racing,na,na,na,na,Line Drawing, Paper-and-Pencil,na,na,na,na,153
7350,81542,Quest  A Time of Heroes,2010,2,5,60,90,6.07635,1.8667,72888,Adventure, Fantasy, Fighting,na,na,na,Campaign / Battle Card Driven, Dice Rolling, Modular Board, Storytelling, Variable Player Powers,na,260
7351,118247,Lucky Numbers,2012,2,4,20,20,6.47453,1.1429,16201,strategy, Number,na,na,na,na,Tile Placement,na,na,na,na,na,129
7352,765,Space Walk,1999,2,5,45,45,5.94185,1.5,38858,strategy, Sci_Fi,na,na,na,na,Mancala,na,na,na,na,na,355
7353,4436,Cityfight  Modern Combat in the Urban Environment,1979,2,3,360,360,6.78443,4.3158,55669,War, War,na,na,na,na,Action Points, Dice Rolling, Hexagon Grid, Secret Unit Deployment, Simultaneous Action Selection,na,106
7354,209659,Marvel Dice Masters  Guardians of the Galaxy,2017,2,2,10,10,8.13333,0,6526,Adaptation, Dice, Fighting,na,na,na,Deck, Dice Rolling, Variable Player Powers,na,na,na,45
7355,199646,Mobster Metropolis,2019,2,4,90,120,8.36867,2.8889,12359,Economic, Mafia,na,na,na,na,Action Queue, Auction/Bidding, Card Drafting, Secret Unit Deployment, Simultaneous Action Selection, Take That,60
7356,125936,Swing States 2012,2012,1,2,40,40,6.98404,2.3077,25246,Educational, Political,na,na,na,na,Action Points, Campaign / Battle Card Driven, Dice Rolling, Voting,na,na,94
7357,72050,Freebooter's Fate,2010,2,16,60,60,8.02586,0,16442,Fighting, Miniatures, Pirates,na,na,na,Simulation,na,na,na,na,na,58
7358,233960,Ali Baba,2017,2,4,20,20,6.35783,1.5,17400,Arabian, Mythology,na,na,na,na,Card Drafting, Set Collection, Take That,na,na,na,150
7359,207442,Turbo Drift,2017,2,4,30,30,6.87124,1,13003,Racing,na,na,na,na,na,Action Queue, Card Drafting,na,na,na,na,97
7360,38462,Palago,2008,2,2,15,15,6.6044,2.6667,26067,strategy, Print & Play,na,na,na,na,Pattern Building, Tile Placement,na,na,na,na,116
7361,3369,John Carter  Warlord of Mars,1979,2,6,180,180,6.51703,3.0556,78729,Fantasy, Fighting, Adaptation, Sci_Fi, War,na,Dice Rolling, Hexagon Grid, Point to Point Movement, Variable Player Powers,na,na,155
7362,74233,Fictionaire  Classic Encyclopedia,2010,4,7,10,20,6.11345,1.1053,22679,Bluffing, Party Game, Trivia, Word Game,na,na,Bluffing, Party Game, Trivia, Word Game,na,na,215
7363,184563,Lock 'n Load Tactical  Heroes of the Motherland,2015,2,2,120,240,8.47065,3.2857,19408,War,na,na,na,na,na,Hexagon Grid,na,na,na,na,na,46
7364,5143,GolfProfi,2002,1,4,120,120,6.79301,2,27264,Sports,na,na,na,na,na,Dice Rolling,na,na,na,na,na,93
7365,6644,Spite & Malice,2002,2,5,30,30,5.86966,1.3878,45168,card,na,na,na,na,na,Pattern Building,na,na,na,na,na,496
7366,118025,Waka Waka,2012,2,4,45,45,5.98583,1.92,42210,card, Economic,na,na,na,na,Set Collection,na,na,na,na,na,287
7367,142451,Cornish Smuggler,2013,2,5,120,120,5.94586,3.1957,105903,Economic, War, Transportation, Travel,na,na,Action Points, Area-Impulse, Deck, Network and Route Building, Pick-up and Deliver, Point to Point Movement,495
7368,166640,Prime Time,2015,2,4,90,120,5.98065,3.3333,47206,Economic, Adaptation,na,na,na,na,Area Majority / Influence, Auction/Bidding, Hand Management,na,na,na,288
7369,247578,Death Note  Confrontation,2018,2,2,30,30,7.43743,2.75,23957,Adaptation, Deduction, Adaptation,na,na,na,Area Majority / Influence, Area Movement, Variable Player Powers,na,na,na,70
7370,5769,Edelweiss,1989,2,2,360,360,7.38841,4.5556,33748,War, War,na,na,na,na,Hexagon Grid,na,na,na,na,na,69
7371,260180,Project L,2020,1,4,20,40,7.38529,2,15619,strategy, Puzzle, Adaptation,na,na,na,Action Points, Card Drafting, Pattern Building, Tile Placement,na,na,68
7372,161886,1879,2014,3,5,150,150,6.96842,3.5,18713,Economic, Trains, Transportation,na,na,na,Network and Route Building, Stock Holding, Tile Placement,na,na,na,76
7373,9112,Omaha  The Bloody Beach,1991,2,2,360,360,7.14,4.25,27292,Fighting, War, War,na,na,na,Dice Rolling, Hexagon Grid, Simulation,na,na,na,90
7374,39862,Flapjacks & Sasquatches,2008,2,8,20,20,6.18345,1.5,23915,card,na,na,na,na,na,Dice Rolling, Take That,na,na,na,na,275
7375,94732,Heroica  Draida,2011,2,2,10,10,5.93575,1.48,31097,Dice,na,na,na,na,na,Modular Board, Roll / Spin and Move,na,na,na,na,400
7376,191351,Absolute Victory  World Conflict 1939-1945,2017,2,2,120,1100,8.125,4,95877,Economic, Political, War, War,na,na,Chit-Pull System, Dice Rolling, Hexagon Grid, Simulation,na,na,56
7377,1352,Bali,2001,3,4,60,60,6.09188,2.7778,35709,card,na,na,na,na,na,Hand Management,na,na,na,na,na,240
7378,67878,Dungeon Crawler,2010,1,6,60,60,6.78243,2.5714,157150,card, Collectible, Fantasy,na,na,na,Cooperative Game, Hand Management, Trading, Variable Phase Order,na,na,148
7379,1312,Nur Peanuts!,2001,2,6,45,45,6.08777,1.6818,23081,Economic,na,na,na,na,na,Roll / Spin and Move,na,na,na,na,na,233
7380,212404,In Vino Morte,2016,3,8,10,10,6.92272,1,7718,Bluffing, Deduction, Party Game,na,na,na,Player Elimination,na,na,na,na,na,92
7381,181959,Gipfelkraxler,2015,2,4,30,30,6.17085,1.4545,12651,Dice,na,na,na,na,na,Dice Rolling, Pattern Building,na,na,na,na,189
7382,263360,Shy Monsters,2019,2,2,10,15,7.20405,1.4,5896,Bluffing, Deduction, Fantasy, Medieval,na,na,Tile Placement,na,na,na,na,na,74
7383,185344,Dragon Keeper  The Dungeon,2016,2,4,20,30,6.36852,2,23490,Animals, Fantasy, Medieval,na,na,na,Set Collection,na,na,na,na,na,182
7384,189030,De Slimste Mens ter Wereld  Het Bordspel,2015,2,4,45,45,6.85651,1,3155,Electronic, Adaptation, Trivia,na,na,na,Electronic, Movies / TV / Radio theme, Trivia,na,na,na,100
7385,140613,Gear & Piston,2013,2,6,30,60,5.82123,2.129,80002,industry_manuf, Transportation,na,na,na,na,Card Drafting, Hand Management, Set Collection, Tile Placement, Worker Placement,na,463
7386,181377,The Opulent,2016,1,4,30,90,7.25641,1.8333,30031,Economic,na,na,na,na,na,Cooperative Game, Dice Rolling, Hand Management, Push Your Luck, Set Collection, Variable Player Powers,78
7387,18652,For Honor and Glory  War of 1812 Land and Naval Battles,2005,2,4,30,30,7.26667,2,45369,War, War, War,na,na,na,Action Points, Dice Rolling, Hexagon Grid, Modular Board,na,na,72
7388,20269,Pikemen,1997,2,4,15,15,6.97049,2.8333,22706,strategy,na,na,na,na,na,Point to Point Movement,na,na,na,na,na,81
7389,30505,Apples to Apples  British Isles Edition,2007,4,10,30,30,6.67,1,18989,card, Humor, Party Game, Word Game,na,na,Hand Management, Simultaneous Action Selection,na,na,na,na,110
7390,3662,BattleFleet Mars  Space Combat in the 21st Century,1977,2,2,120,120,6.32515,3.16,57742,Sci_Fi, War,na,na,na,na,Hexagon Grid,na,na,na,na,na,167
7391,17274,Attacktix Battle Figure Game  Star Wars,2005,2,2,10,10,6.10496,1.2564,54939,Dexterity, Childrens Game, Collectible, Adaptation, Sci_Fi,na,Action / Dexterity, Childrens Game, Collectible Components, Movies / TV / Radio theme, Science Fiction,na,282
7392,5831,Britain Stands Alone,1994,2,2,360,360,6.58203,3.2105,44614,War, War,na,na,na,na,Hexagon Grid,na,na,na,na,na,128
7393,185241,Victory & Glory  Napoleon,2017,1,2,120,120,7.27407,2.3636,88309,War, War,na,na,na,na,Area Movement, Campaign / Battle Card Driven,na,na,na,na,81
7394,57201,Greedy Kingdoms,2009,2,2,20,20,6.68048,1.6667,30368,Bluffing, card, Medieval,na,na,na,Betting and Bluffing, Secret Unit Deployment, Set Collection, Simultaneous Action Selection,na,na,105
7395,133671,A Fool's Fortune,2012,2,3,45,45,6.13878,2.5,49148,card,na,na,na,na,na,Hand Management, Set Collection,na,na,na,na,221
7396,144958,Iwo  Bloodbath in the Bonins 19 Feb \u2013 17 Mar 1945,2013,1,2,60,60,6.84896,2.5,31072,War, War,na,na,na,na,Dice Rolling, Hexagon Grid,na,na,na,na,96
7397,19145,Disposable Heroes and Coffin For Seven Brothers,2004,2,2,120,120,7.75088,3.1429,23565,Miniatures, War, War,na,na,na,Dice Rolling,na,na,na,na,na,57
7398,66797,Heckmeck Junior,2010,2,5,20,20,6.07943,1.1667,18951,Animals, Childrens Game, Dice,na,na,na,Dice Rolling, Push Your Luck,na,na,na,na,222
7399,13359,Royal Leapfrog,2004,1,6,20,20,6.21385,1.5,32332,Bluffing, Racing,na,na,na,na,Hand Management, Simultaneous Action Selection,na,na,na,na,184
7400,217098,Tr\u00f4l,2017,2,5,30,30,6.85296,2,9698,REXhry, Sweet Games,na,na,na,na,Dice Rolling,na,na,na,na,na,108
7401,38918,Hooop!,2008,2,4,20,20,6.03933,1.7059,26879,strategy, Animals, Childrens Game,na,na,na,Point to Point Movement,na,na,na,na,na,254
7402,22843,War in the Pacific (second edition),2006,2,6,480,480,7.58832,4.7692,136690,War, War,na,na,na,na,Hexagon Grid, Simulation,na,na,na,na,78
7403,40182,Telepathy  WA State Edition,2008,2,4,20,20,6.59533,2.1667,22804,strategy, Deduction, Puzzle,na,na,na,Abstract Strategy, Deduction, Puzzle,na,na,na,131
7404,170472,Prelude to Rebellion,2018,2,2,180,180,8.21702,2.4,15483,Political,na,na,na,na,na,Area Majority / Influence, Hand Management,na,na,na,na,47
7405,217470,Qwinto  Das Kartenspiel,2017,1,4,20,20,6.85407,1.6667,8539,card,na,na,na,na,na,Hand Management,na,na,na,na,na,86
7406,219766,Chariots of Rome,2017,2,8,45,120,7.22654,2.5,23743,Ancient, Racing,na,na,na,na,Action Queue, Dice Rolling, Grid Movement, Push Your Luck,na,na,81
7407,39710,Tien Zi Que,2009,2,2,20,20,6.19036,1.6667,30193,card, Number,na,na,na,na,Hand Management, Set Collection,na,na,na,na,196
7408,139433,Fields of Fire Vol. II  ''With The Old Breed'',2019,1,2,120,120,7.8039,4.3333,73133,War, War, War, War,na,na,Campaign / Battle Card Driven, Modular Board, Solo / Solitaire Game,na,na,na,60
7409,169062,Monsters vs. Heroes  Victorian Nightmares,2015,2,8,10,30,6.07171,1.3333,30327,card, Horror,na,na,na,na,Card Drafting, Take That,na,na,na,na,310
7410,62291,Fatal Alliances  The Great War,2016,2,6,240,1100,8.09702,4,113877,War, War,na,na,na,na,Area Movement, Dice Rolling, Hexagon Grid, Simulation,na,na,67
7411,177619,Terminator Genisys  The Miniatures Game \u2013 The War Against The Machine,2015,2,2,30,60,7.56047,3,60492,Miniatures, Adaptation, Sci_Fi, War,na,na,Dice Rolling, Point to Point Movement,na,na,na,na,86
7412,5516,Symbioz,1995,2,4,180,180,6.83427,3,18529,Animals, Sci_Fi,na,na,na,na,Action Points, Area Movement,na,na,na,na,89
7413,7310,One False Step for Mankind,2003,3,6,180,180,6.36565,2.5882,25716,American West, Farming, Humor, Political, Territory Building,na,Auction/Bidding, Dice Rolling, Modular Board, Simulation,na,na,147
7414,3084,Buccaneer,1938,2,6,90,90,6.03487,1.4,76705,Fighting, War, Pirates,na,na,na,Pick-up and Deliver, Trading,na,na,na,na,316
7415,891,Cranium,1998,4,16,60,60,5.68407,1.4354,340141,Party Game, Puzzle, Trivia, Word Game,na,na,Acting, Line Drawing, Paper-and-Pencil, Roll / Spin and Move, Singing, Team-Based Game,8042
7416,24321,Panzer Grenadier  Airborne (Introductory Edition),2006,2,2,60,60,6.34119,2.7381,31038,War, War,na,na,na,na,Dice Rolling, Hexagon Grid,na,na,na,na,164
7417,54201,The d6 Shooters,2009,1,2,25,25,6.48622,1.875,76409,American West, Dice, Print & Play,na,na,na,Dice Rolling, Paper-and-Pencil,na,na,na,na,156
7418,22666,Renaissance,2007,3,6,120,120,6.85612,2.6667,30313,Medieval,na,na,na,na,na,Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling,na,na,na,98
7419,67972,Workshop of the World,2010,3,5,90,90,6.50672,2.5882,24034,Economic, industry_manuf, Trains, Transportation,na,na,Auction/Bidding, Network and Route Building, Tile Placement,na,na,na,122
7420,220331,Saipan  The Bloody Rock,2017,1,4,120,1100,8.28218,4.3333,50343,War, War,na,na,na,na,Chit-Pull System, Dice Rolling, Hexagon Grid,na,na,na,55
7421,167604,Rollet,2014,4,4,10,10,6.97389,1,11253,Dexterity, Party Game,na,na,na,na,Action / Dexterity, Party Game,na,na,na,na,83
7422,256538,Home Alone Game,2018,2,4,15,20,6.63103,1.5,24843,Adaptation,na,na,na,na,na,Movies / TV / Radio theme,na,na,na,na,na,117
7423,233262,Tidal Blades  Heroes of the Reef,2020,1,4,60,90,8.505,0,103353,Fantasy,na,na,na,na,na,Card Drafting, Dice Rolling, Hand Management, Set Collection, Variable Player Powers, Worker Placement,74
7424,8679,Days of Decision III,2004,2,8,360,360,7.49254,4.0769,54960,Political, War, War,na,na,na,Area-Impulse, Dice Rolling, Simulation,na,na,na,67
7425,8721,Hof Gap,1980,2,2,120,120,6.97704,3.6,31424,War, War,na,na,na,na,Dice Rolling, Hexagon Grid,na,na,na,na,98
7426,213497,Red Storm  The Air War Over Central Germany,2019,1,2,240,10,8.47917,4.3846,39856,Aviation, War, War,na,na,na,Dice Rolling, Hexagon Grid, Simulation,na,na,na,48
7427,272739,Clinic  Deluxe Edition,2019,1,4,60,150,8.075,4.0909,45393,City Building, Economic, Medical, Territory Building, Transportation,na,Pick-up and Deliver, Simulation, Tile Placement,na,na,na,52
7428,32405,Alles Tomate!,2007,2,8,15,20,5.91659,1.0571,32322,card, Childrens Game, Adaptation, Farming, Memory, Adaptation,Card Drafting, Memory,na,na,na,na,372
7429,151645,Jane Austen's Matchmaker,2014,3,6,30,30,6.50465,2,21235,card, Adaptation,na,na,na,na,Hand Management, Take That,na,na,na,na,129
7430,203716,Ta-Da!,2016,2,6,10,15,6.23738,1,20271,CMON Limited,na,na,na,na,na,Dice Rolling, Simultaneous Action Selection,na,na,na,na,182
7431,182982,Horse & Musket  Dawn of an Era,2017,1,2,60,10,8.23525,2.125,43283,Age of Reason, War, War, War,na,na,Action Points, Dice Rolling, Hexagon Grid, Modular Board, Simulation,na,61
7432,17125,Ars Mysteriorum,2005,3,5,90,90,6.36307,3.0455,21937,Fantasy,na,na,na,na,na,Auction/Bidding, Variable Player Powers,na,na,na,na,149
7433,87141,ScrumBrawl,2011,2,4,50,50,6.50692,2.2,56850,card, Dice, Fantasy, Fighting, Sports,na,Area Movement, Campaign / Battle Card Driven, Dice Rolling,na,na,na,146
7434,3507,By Golly!,2001,2,6,15,15,6.00483,1.0385,37143,Animals, card, Childrens Game, Memory,na,na,Memory, Set Collection,na,na,na,na,265
7435,17537,The Battle of Corinth  Standoff at the Tennessee,1981,1,2,240,240,7.85527,3.5385,16874,American War, War,na,na,na,na,Hexagon Grid,na,na,na,na,na,55
7436,31822,Master of Rules,2007,3,5,20,30,5.902,1.5,37667,card,na,na,na,na,na,Hand Management,na,na,na,na,na,386
7437,234221,Arkon,2018,2,4,10,30,8.03592,1.9091,15109,card, Fantasy,na,na,na,na,Auction/Bidding, Hand Management, Take That,na,na,na,142
7438,209849,Quibbit!,2016,2,4,15,15,6.96728,1,8113,Childrens Game, Racing,na,na,na,na,Action Queue, Player Elimination, Simultaneous Action Selection,na,na,na,81
7439,2521,Nexus,2001,2,4,20,20,6.16573,1.6957,25231,strategy,na,na,na,na,na,Area Majority / Influence, Tile Placement,na,na,na,na,213
7440,93540,Five Points  Gangs of New York,2013,3,5,75,108,6.19427,2.5294,76805,Political,na,na,na,na,na,Area Majority / Influence, Auction/Bidding,na,na,na,na,192
7441,166276,Hellweg westfalicus,2014,2,4,30,60,6.46212,2.5,18092,Medieval,na,na,na,na,na,Medieval,na,na,na,na,na,132
7442,4449,The Battle of Monmouth,1982,2,2,180,180,6.59052,2.6842,25268,Age of Reason, American Revolutionary War, War,na,na,na,Hexagon Grid,na,na,na,na,na,116
7443,825,Screaming Eagles,1987,2,4,20,20,5.98575,1.3333,62184,Fighting, War,na,na,na,na,Dice Rolling, Simultaneous Action Selection, Team-Based Game,na,na,na,345
7444,17705,Faces,2003,3,8,30,30,6.01113,1.1176,55060,Party Game,na,na,na,na,na,Party Game,na,na,na,na,na,266
7445,2342,Mystery Mansion,1984,3,4,90,90,6.07071,1.9048,107295,Childrens Game, Deduction, Exploration, murder_mystery,na,na,Modular Board,na,na,na,na,na,326
