sort_index,object_id,game_name,year_published,min_players,max_players,min_playtime,max_playtime,average,complexity,siteviews,category_1,category_2,category_3,category_4,category_5,category_6,mech_1,mech_2,mech_3,mech_4,mech_5,mech_6,users_rated
4591,176817,Assassinorum  Execution Force,2015,1,4,60,60,6.70048,2.1176,127513,Miniatures, Sci_Fi,na,na,na,na,Cooperative Game, Dice Rolling, Variable Player Powers,na,na,na,314
4592,87,Victory  World War II,1998,2,4,120,120,6.37291,2.6154,86048,War, War,na,na,na,na,Dice Rolling, Hexagon Grid, Secret Unit Deployment,na,na,na,411
4593,90190,The Secret of Monte Cristo,2011,2,4,60,60,6.15721,2.375,71167,Exploration, Adaptation,na,na,na,na,Action Points, Area Majority / Influence, Variable Phase Order,na,na,na,595
4594,276497,La Vi\u00f1a,2019,2,5,30,45,7.34915,2.125,18327,card,na,na,na,na,na,Hand Management, Set Collection,na,na,na,na,197
4595,65313,Napoleon's War   The 100 Days,2010,2,2,60,60,7.2016,2.3659,112774,War, War,na,na,na,na,Action Points,na,na,na,na,na,186
4596,103877,Casa Grande,2011,2,4,30,45,6.46443,2.1154,41327,strategy,na,na,na,na,na,Pattern Building, Roll / Spin and Move,na,na,na,na,343
4597,36739,Black Sheep,2008,2,4,30,30,5.95687,1.4194,86572,Animals, card, Childrens Game,na,na,na,Hand Management, Set Collection,na,na,na,na,1131
4598,221368,DC Comics Deck-Building Game  Confrontations,2017,2,4,30,30,7.78837,1.75,22943,card, Adaptation,na,na,na,na,Deck, Team-Based Game, Variable Player Powers,na,na,na,141
4599,820,Axiom,1988,2,2,15,15,6.94754,3,52980,strategy,na,na,na,na,na,Modular Board,na,na,na,na,na,219
4600,235454,Ligny 1815  Last Eagles,2017,1,4,60,600,8.52885,3.4,33396,War, War,na,na,na,na,Hexagon Grid,na,na,na,na,na,104
4601,1070,Waldschattenspiel,1985,2,8,15,15,6.16103,1.1026,176507,Childrens Game, Fantasy, Party Game,na,na,na,Area Majority / Influence, Cooperative Game, Roll / Spin and Move, Team-Based Game,na,na,681
4602,27766,Die Siedler von Catan  Junior,2007,3,4,30,30,6.34657,1.5667,57860,Childrens Game, Negotiation, Pirates,na,na,na,Dice Rolling, Hand Management, Memory, Network and Route Building, Trading,na,432
4603,236239,Tri-Pack  Battles of the American Revolution \u2013 Guilford,2017,2,2,180,240,8.01431,3.3333,33030,Age of Reason, American Revolutionary War, War,na,na,na,Dice Rolling, Hexagon Grid, Simulation,na,na,na,133
4604,271321,CABO (second edition),2019,2,4,45,45,7.3655,1.1429,17990,card, Fantasy,na,na,na,na,Hand Management, Memory, Set Collection,na,na,na,171
4605,209530,Gwent  Nilfgaard and Northern Realms,2016,2,2,10,30,6.73629,1.6667,8688,card, Collectible, Adaptation,na,na,na,Hand Management,na,na,na,na,na,302
4606,153238,Ivor the Engine,2014,3,5,60,60,6.46892,1.9545,44275,Adaptation, Trains,na,na,na,na,Area Movement, Hand Management, Pick-up and Deliver,na,na,na,332
4607,366,Viva Pamplona!,1992,2,6,45,45,6.37023,1.38,38659,Racing,na,na,na,na,na,Dice Rolling, Roll / Spin and Move,na,na,na,na,392
4608,216179,Legends Untold  The Great Sewers Novice Set,2019,1,4,60,60,7.91204,3,14014,Adventure, Exploration, Medieval,na,na,na,Cooperative Game, Dice Rolling, Role Playing,na,na,na,162
4609,5478,Jungle Smart,2002,1,10,20,20,6.23938,1.4872,48433,Animals, Puzzle, Real-time,na,na,na,Simultaneous Action Selection,na,na,na,na,na,484
4610,5614,Achtung  Spitfire!,1995,1,40,240,240,7.29016,4.0588,68258,Aviation, War, War,na,na,na,Dice Rolling, Hexagon Grid,na,na,na,na,193
4611,144525,Dungeon Twister  The Card Game,2013,2,2,15,60,6.30811,2.96,72124,card, Exploration, Fantasy, Fighting, Maze,na,Grid Movement, Hand Management, Modular Board, Secret Unit Deployment, Variable Player Powers,na,445
4612,83197,Zen Master,2010,3,5,30,30,6.31421,1.3182,33575,card,na,na,na,na,na,Hand Management, Set Collection, Trick-taking,na,na,na,414
4613,61028,D-Day Dice  Free Trial Version,2009,1,4,20,20,6.63032,1.8158,178035,Dice, War,na,na,na,na,Cooperative Game, Dice Rolling, Simultaneous Action Selection,na,na,na,284
4614,31621,Gangster,2007,2,5,90,90,6.15764,2.3056,86800,Mafia,na,na,na,na,na,Area Majority / Influence,na,na,na,na,na,576
4615,26459,PQ-17  Arctic Naval Operations 1941-1943,2009,2,2,210,210,7.27607,4.075,114716,War, War, War,na,na,na,Dice Rolling, Hexagon Grid, Secret Unit Deployment, Simulation,na,na,189
4616,16805,Panzer Grenadier  Road to Berlin,2005,2,2,120,120,7.36531,2.7742,50883,War, War,na,na,na,na,Hexagon Grid,na,na,na,na,na,168
4617,38873,Cambria,2008,2,5,20,20,6.44612,1.8049,59901,Ancient,na,na,na,na,na,Area Majority / Influence, Dice Rolling,na,na,na,na,387
4618,274093,Quirky Circuits,2019,2,4,15,30,7.35078,1.5,36992,Plaid Hat Games, Gu00e9m Klub Kft.,na,na,na,na,Action Queue, Cooperative Game, Simultaneous Action Selection,na,na,na,167
4619,159910,The King of Frontier,2013,2,4,30,30,6.8695,2.0714,42423,City Building, Medieval,na,na,na,na,Enclosure, Tile Placement,na,na,na,na,219
4620,15474,Zombiaki,2003,2,2,15,15,6.15209,1.6232,44055,card, Fighting, Humor, Zombies,na,na,Card Drafting, Hand Management,na,na,na,na,712
4621,233194,Banned Words,2017,4,40,30,30,7.1759,1,21093,Party Game, Word Game,na,na,na,na,Party Game, Word Game,na,na,na,na,183
4622,41934,World at War  The Untold Stories,2010,2,2,60,60,7.97369,2.75,66105,War, War,na,na,na,na,Chit-Pull System, Dice Rolling, Hexagon Grid,na,na,na,129
4623,55763,Mister X  A chase through Europe,2009,2,6,60,60,6.68453,2.0667,85479,Bluffing, Deduction,na,na,na,na,Hand Management, Point to Point Movement, Team-Based Game,na,na,na,316
4624,240465,CIV  Carta Impera Victoria,2018,2,4,20,40,6.258,2.1176,52288,card, Civilization,na,na,na,na,Deck, Hand Management, Set Collection, Variable Player Powers,na,na,568
4625,4522,Maskenball der K\u00e4fer,2002,2,6,20,30,6.53466,1.0526,42034,Animals, Childrens Game, Puzzle,na,na,na,Cooperative Game, Pattern Recognition,na,na,na,na,309
4626,254994,Extraordinary Adventures  Pirates,2019,2,6,45,60,7.07549,2.2,36805,War, Pirates, Racing,na,na,na,Deck, Set Collection,na,na,na,na,215
